,location,target,type,quantile,value
0,11,1 day ahead cum death,point,,545.8571428571429
1,11,1 day ahead cum death,quantile,0.01,369.6
2,11,1 day ahead cum death,quantile,0.025,373.5
3,11,1 day ahead cum death,quantile,0.05,380.0
4,11,1 day ahead cum death,quantile,0.1,394.2
5,11,1 day ahead cum death,quantile,0.15,409.8
6,11,1 day ahead cum death,quantile,0.2,416.4
7,11,1 day ahead cum death,quantile,0.25,431.75
8,11,1 day ahead cum death,quantile,0.3,462.3
9,11,1 day ahead cum death,quantile,0.35,487.35
10,11,1 day ahead cum death,quantile,0.4,513.2
11,11,1 day ahead cum death,quantile,0.45,543.1
12,11,1 day ahead cum death,quantile,0.5,552.0
13,11,1 day ahead cum death,quantile,0.55,555.5
14,11,1 day ahead cum death,quantile,0.6,562.0
15,11,1 day ahead cum death,quantile,0.65,567.1500000000002
16,11,1 day ahead cum death,quantile,0.7,580.4
17,11,1 day ahead cum death,quantile,0.75,641.5
18,11,1 day ahead cum death,quantile,0.8,673.8
19,11,1 day ahead cum death,quantile,0.85,689.65
20,11,1 day ahead cum death,quantile,0.9,724.1
21,11,1 day ahead cum death,quantile,0.95,745.25
22,11,1 day ahead cum death,quantile,0.975,750.125
23,11,1 day ahead cum death,quantile,0.99,753.0500000000002
24,24,1 day ahead cum death,point,,2519.928571428572
25,24,1 day ahead cum death,quantile,0.01,1831.22
26,24,1 day ahead cum death,quantile,0.025,1869.05
27,24,1 day ahead cum death,quantile,0.05,1932.1
28,24,1 day ahead cum death,quantile,0.1,2001.8
29,24,1 day ahead cum death,quantile,0.15,2005.7
30,24,1 day ahead cum death,quantile,0.2,2013.8
31,24,1 day ahead cum death,quantile,0.25,2054.75
32,24,1 day ahead cum death,quantile,0.3,2147.7
33,24,1 day ahead cum death,quantile,0.35,2239.0
34,24,1 day ahead cum death,quantile,0.4,2321.4
35,24,1 day ahead cum death,quantile,0.45,2384.45
36,24,1 day ahead cum death,quantile,0.5,2457.5
37,24,1 day ahead cum death,quantile,0.55,2518.25
38,24,1 day ahead cum death,quantile,0.6,2528.0
39,24,1 day ahead cum death,quantile,0.65,2670.9500000000007
40,24,1 day ahead cum death,quantile,0.7,2852.7
41,24,1 day ahead cum death,quantile,0.75,2922.25
42,24,1 day ahead cum death,quantile,0.8,3017.4
43,24,1 day ahead cum death,quantile,0.85,3127.8
44,24,1 day ahead cum death,quantile,0.9,3229.2000000000007
45,24,1 day ahead cum death,quantile,0.95,3302.25
46,24,1 day ahead cum death,quantile,0.975,3326.625
47,24,1 day ahead cum death,quantile,0.99,3341.2499999999995
