,location,target,type,quantile,value
0,66,1 wk ahead cum death,quantile,0.01,5.544628869557071
1,66,1 wk ahead cum death,quantile,0.025,5.544911986947381
2,66,1 wk ahead cum death,quantile,0.05,5.54545964536183
3,66,1 wk ahead cum death,quantile,0.1,5.547270569495501
4,66,1 wk ahead cum death,quantile,0.15,5.550601655973151
5,66,1 wk ahead cum death,quantile,0.2,5.556285204561339
6,66,1 wk ahead cum death,quantile,0.25,5.558013927752429
7,66,1 wk ahead cum death,quantile,0.3,5.56021355462814
8,66,1 wk ahead cum death,quantile,0.35,5.563795906821129
9,66,1 wk ahead cum death,quantile,0.4,5.614993075354481
10,66,1 wk ahead cum death,quantile,0.45,5.61802019193591
11,66,1 wk ahead cum death,quantile,0.5,5.62325311707651
12,66,1 wk ahead cum death,quantile,0.55,5.63059617870113
13,66,1 wk ahead cum death,quantile,0.6,5.63417697254035
14,66,1 wk ahead cum death,quantile,0.65,5.63835221369358
15,66,1 wk ahead cum death,quantile,0.7,5.70289899153775
16,66,1 wk ahead cum death,quantile,0.75,5.71192918466629
17,66,1 wk ahead cum death,quantile,0.8,5.7239393358502495
18,66,1 wk ahead cum death,quantile,0.85,5.731834644383611
19,66,1 wk ahead cum death,quantile,0.9,5.815620204554451
20,66,1 wk ahead cum death,quantile,0.95,5.84342432253322
21,66,1 wk ahead cum death,quantile,0.975,5.95751025838696
22,66,1 wk ahead cum death,quantile,0.99,5.98223223344615
23,69,1 wk ahead cum death,quantile,0.01,2.493764588789
24,69,1 wk ahead cum death,quantile,0.025,2.49378263732546
25,69,1 wk ahead cum death,quantile,0.05,2.4938335363724904
26,69,1 wk ahead cum death,quantile,0.1,2.4940019782899303
27,69,1 wk ahead cum death,quantile,0.15,2.49431486198924
28,69,1 wk ahead cum death,quantile,0.2,2.4949272836069505
29,69,1 wk ahead cum death,quantile,0.25,2.49736354363509
30,69,1 wk ahead cum death,quantile,0.3,2.50111382619125
31,69,1 wk ahead cum death,quantile,0.35,2.50154912194168
32,69,1 wk ahead cum death,quantile,0.4,2.50187517594635
33,69,1 wk ahead cum death,quantile,0.45,2.50228851265117
34,69,1 wk ahead cum death,quantile,0.5,2.50389404111714
35,69,1 wk ahead cum death,quantile,0.55,2.54421767709235
36,69,1 wk ahead cum death,quantile,0.6,2.5445556516624905
37,69,1 wk ahead cum death,quantile,0.65,2.5454252544387597
38,69,1 wk ahead cum death,quantile,0.7,2.55293407732412
39,69,1 wk ahead cum death,quantile,0.75,2.55418076390882
40,69,1 wk ahead cum death,quantile,0.8,2.55486677005302
41,69,1 wk ahead cum death,quantile,0.85,2.5568894263818702
42,69,1 wk ahead cum death,quantile,0.9,2.60650683366903
