,location,target,type,quantile,forecast_date,target_end_date,value
0,01,1 wk ahead cum death,point,,2020-07-02,2020-07-11,1199
1,01,1 wk ahead cum death,quantile,0.01,2020-07-02,2020-07-11,1073
2,01,1 wk ahead cum death,quantile,0.025,2020-07-02,2020-07-11,1088
3,01,1 wk ahead cum death,quantile,0.05,2020-07-02,2020-07-11,1108
4,01,1 wk ahead cum death,quantile,0.1,2020-07-02,2020-07-11,1123
5,01,1 wk ahead cum death,quantile,0.15,2020-07-02,2020-07-11,1135
6,01,1 wk ahead cum death,quantile,0.2,2020-07-02,2020-07-11,1145
7,01,1 wk ahead cum death,quantile,0.25,2020-07-02,2020-07-11,1157
8,01,1 wk ahead cum death,quantile,0.3,2020-07-02,2020-07-11,1164
9,01,1 wk ahead cum death,quantile,0.35,2020-07-02,2020-07-11,1174
10,01,1 wk ahead cum death,quantile,0.4,2020-07-02,2020-07-11,1179
11,01,1 wk ahead cum death,quantile,0.45,2020-07-02,2020-07-11,1189
12,01,1 wk ahead cum death,quantile,0.5,2020-07-02,2020-07-11,1199
13,01,1 wk ahead cum death,quantile,0.55,2020-07-02,2020-07-11,1209
14,01,1 wk ahead cum death,quantile,0.6,2020-07-02,2020-07-11,1216
15,01,1 wk ahead cum death,quantile,0.65,2020-07-02,2020-07-11,1225
16,01,1 wk ahead cum death,quantile,0.7,2020-07-02,2020-07-11,1234
17,01,1 wk ahead cum death,quantile,0.75,2020-07-02,2020-07-11,1243
18,01,1 wk ahead cum death,quantile,0.8,2020-07-02,2020-07-11,1252
19,01,1 wk ahead cum death,quantile,0.85,2020-07-02,2020-07-11,1268
20,01,1 wk ahead cum death,quantile,0.9,2020-07-02,2020-07-11,1282
21,01,1 wk ahead cum death,quantile,0.95,2020-07-02,2020-07-11,1308
22,01,1 wk ahead cum death,quantile,0.975,2020-07-02,2020-07-11,1332
23,01,1 wk ahead cum death,quantile,0.99,2020-07-02,2020-07-11,1357
24,01,2 wk ahead cum death,point,,2020-07-02,2020-07-18,1357
25,01,2 wk ahead cum death,quantile,0.01,2020-07-02,2020-07-18,1133
26,01,2 wk ahead cum death,quantile,0.025,2020-07-02,2020-07-18,1157
27,01,2 wk ahead cum death,quantile,0.05,2020-07-02,2020-07-18,1190
28,01,2 wk ahead cum death,quantile,0.1,2020-07-02,2020-07-18,1227
29,01,2 wk ahead cum death,quantile,0.15,2020-07-02,2020-07-18,1248
30,01,2 wk ahead cum death,quantile,0.2,2020-07-02,2020-07-18,1265
31,01,2 wk ahead cum death,quantile,0.25,2020-07-02,2020-07-18,1286
32,01,2 wk ahead cum death,quantile,0.3,2020-07-02,2020-07-18,1299
33,01,2 wk ahead cum death,quantile,0.35,2020-07-02,2020-07-18,1314
34,01,2 wk ahead cum death,quantile,0.4,2020-07-02,2020-07-18,1323
35,01,2 wk ahead cum death,quantile,0.45,2020-07-02,2020-07-18,1341
36,01,2 wk ahead cum death,quantile,0.5,2020-07-02,2020-07-18,1357
37,01,2 wk ahead cum death,quantile,0.55,2020-07-02,2020-07-18,1374
38,01,2 wk ahead cum death,quantile,0.6,2020-07-02,2020-07-18,1390
39,01,2 wk ahead cum death,quantile,0.65,2020-07-02,2020-07-18,1406
40,01,2 wk ahead cum death,quantile,0.7,2020-07-02,2020-07-18,1425
41,01,2 wk ahead cum death,quantile,0.75,2020-07-02,2020-07-18,1443
42,01,2 wk ahead cum death,quantile,0.8,2020-07-02,2020-07-18,1459
43,01,2 wk ahead cum death,quantile,0.85,2020-07-02,2020-07-18,1488
44,01,2 wk ahead cum death,quantile,0.9,2020-07-02,2020-07-18,1518
45,01,2 wk ahead cum death,quantile,0.95,2020-07-02,2020-07-18,1575
46,01,2 wk ahead cum death,quantile,0.975,2020-07-02,2020-07-18,1619
47,01,2 wk ahead cum death,quantile,0.99,2020-07-02,2020-07-18,1665
48,01,3 wk ahead cum death,point,,2020-07-02,2020-07-25,1561
49,01,3 wk ahead cum death,quantile,0.01,2020-07-02,2020-07-25,1196
50,01,3 wk ahead cum death,quantile,0.025,2020-07-02,2020-07-25,1235
51,01,3 wk ahead cum death,quantile,0.05,2020-07-02,2020-07-25,1283
52,01,3 wk ahead cum death,quantile,0.1,2020-07-02,2020-07-25,1341
53,01,3 wk ahead cum death,quantile,0.15,2020-07-02,2020-07-25,1377
54,01,3 wk ahead cum death,quantile,0.2,2020-07-02,2020-07-25,1406
55,01,3 wk ahead cum death,quantile,0.25,2020-07-02,2020-07-25,1438
56,01,3 wk ahead cum death,quantile,0.3,2020-07-02,2020-07-25,1462
57,01,3 wk ahead cum death,quantile,0.35,2020-07-02,2020-07-25,1489
58,01,3 wk ahead cum death,quantile,0.4,2020-07-02,2020-07-25,1508
59,01,3 wk ahead cum death,quantile,0.45,2020-07-02,2020-07-25,1536
60,01,3 wk ahead cum death,quantile,0.5,2020-07-02,2020-07-25,1561
61,01,3 wk ahead cum death,quantile,0.55,2020-07-02,2020-07-25,1587
62,01,3 wk ahead cum death,quantile,0.6,2020-07-02,2020-07-25,1614
63,01,3 wk ahead cum death,quantile,0.65,2020-07-02,2020-07-25,1642
64,01,3 wk ahead cum death,quantile,0.7,2020-07-02,2020-07-25,1672
65,01,3 wk ahead cum death,quantile,0.75,2020-07-02,2020-07-25,1702
66,01,3 wk ahead cum death,quantile,0.8,2020-07-02,2020-07-25,1737
67,01,3 wk ahead cum death,quantile,0.85,2020-07-02,2020-07-25,1789
68,01,3 wk ahead cum death,quantile,0.9,2020-07-02,2020-07-25,1852
