,location,target,type,quantile,forecast_date,target_end_date,value
0,01,1 wk ahead cum death,point,,2020-07-02,2020-07-11,1201
1,01,1 wk ahead cum death,quantile,0.01,2020-07-02,2020-07-11,1080
2,01,1 wk ahead cum death,quantile,0.025,2020-07-02,2020-07-11,1097
3,01,1 wk ahead cum death,quantile,0.05,2020-07-02,2020-07-11,1109
4,01,1 wk ahead cum death,quantile,0.1,2020-07-02,2020-07-11,1125
5,01,1 wk ahead cum death,quantile,0.15,2020-07-02,2020-07-11,1138
6,01,1 wk ahead cum death,quantile,0.2,2020-07-02,2020-07-11,1149
7,01,1 wk ahead cum death,quantile,0.25,2020-07-02,2020-07-11,1159
8,01,1 wk ahead cum death,quantile,0.3,2020-07-02,2020-07-11,1167
9,01,1 wk ahead cum death,quantile,0.35,2020-07-02,2020-07-11,1175
10,01,1 wk ahead cum death,quantile,0.4,2020-07-02,2020-07-11,1186
11,01,1 wk ahead cum death,quantile,0.45,2020-07-02,2020-07-11,1194
12,01,1 wk ahead cum death,quantile,0.5,2020-07-02,2020-07-11,1201
13,01,1 wk ahead cum death,quantile,0.55,2020-07-02,2020-07-11,1208
14,01,1 wk ahead cum death,quantile,0.6,2020-07-02,2020-07-11,1218
15,01,1 wk ahead cum death,quantile,0.65,2020-07-02,2020-07-11,1228
16,01,1 wk ahead cum death,quantile,0.7,2020-07-02,2020-07-11,1235
17,01,1 wk ahead cum death,quantile,0.75,2020-07-02,2020-07-11,1248
18,01,1 wk ahead cum death,quantile,0.8,2020-07-02,2020-07-11,1258
19,01,1 wk ahead cum death,quantile,0.85,2020-07-02,2020-07-11,1271
20,01,1 wk ahead cum death,quantile,0.9,2020-07-02,2020-07-11,1289
21,01,1 wk ahead cum death,quantile,0.95,2020-07-02,2020-07-11,1312
22,01,1 wk ahead cum death,quantile,0.975,2020-07-02,2020-07-11,1328
23,01,1 wk ahead cum death,quantile,0.99,2020-07-02,2020-07-11,1358
24,01,2 wk ahead cum death,point,,2020-07-02,2020-07-18,1375
25,01,2 wk ahead cum death,quantile,0.01,2020-07-02,2020-07-18,1146
26,01,2 wk ahead cum death,quantile,0.025,2020-07-02,2020-07-18,1183
27,01,2 wk ahead cum death,quantile,0.05,2020-07-02,2020-07-18,1203
28,01,2 wk ahead cum death,quantile,0.1,2020-07-02,2020-07-18,1237
29,01,2 wk ahead cum death,quantile,0.15,2020-07-02,2020-07-18,1259
30,01,2 wk ahead cum death,quantile,0.2,2020-07-02,2020-07-18,1278
31,01,2 wk ahead cum death,quantile,0.25,2020-07-02,2020-07-18,1297
32,01,2 wk ahead cum death,quantile,0.3,2020-07-02,2020-07-18,1310
33,01,2 wk ahead cum death,quantile,0.35,2020-07-02,2020-07-18,1325
34,01,2 wk ahead cum death,quantile,0.4,2020-07-02,2020-07-18,1346
35,01,2 wk ahead cum death,quantile,0.45,2020-07-02,2020-07-18,1361
36,01,2 wk ahead cum death,quantile,0.5,2020-07-02,2020-07-18,1375
37,01,2 wk ahead cum death,quantile,0.55,2020-07-02,2020-07-18,1391
38,01,2 wk ahead cum death,quantile,0.6,2020-07-02,2020-07-18,1406
39,01,2 wk ahead cum death,quantile,0.65,2020-07-02,2020-07-18,1422
40,01,2 wk ahead cum death,quantile,0.7,2020-07-02,2020-07-18,1440
41,01,2 wk ahead cum death,quantile,0.75,2020-07-02,2020-07-18,1459
42,01,2 wk ahead cum death,quantile,0.8,2020-07-02,2020-07-18,1486
43,01,2 wk ahead cum death,quantile,0.85,2020-07-02,2020-07-18,1514
44,01,2 wk ahead cum death,quantile,0.9,2020-07-02,2020-07-18,1549
45,01,2 wk ahead cum death,quantile,0.95,2020-07-02,2020-07-18,1603
46,01,2 wk ahead cum death,quantile,0.975,2020-07-02,2020-07-18,1638
47,01,2 wk ahead cum death,quantile,0.99,2020-07-02,2020-07-18,1688
48,01,3 wk ahead cum death,point,,2020-07-02,2020-07-25,1603
49,01,3 wk ahead cum death,quantile,0.01,2020-07-02,2020-07-25,1219
50,01,3 wk ahead cum death,quantile,0.025,2020-07-02,2020-07-25,1274
51,01,3 wk ahead cum death,quantile,0.05,2020-07-02,2020-07-25,1310
52,01,3 wk ahead cum death,quantile,0.1,2020-07-02,2020-07-25,1366
53,01,3 wk ahead cum death,quantile,0.15,2020-07-02,2020-07-25,1405
54,01,3 wk ahead cum death,quantile,0.2,2020-07-02,2020-07-25,1437
55,01,3 wk ahead cum death,quantile,0.25,2020-07-02,2020-07-25,1466
56,01,3 wk ahead cum death,quantile,0.3,2020-07-02,2020-07-25,1492
57,01,3 wk ahead cum death,quantile,0.35,2020-07-02,2020-07-25,1517
58,01,3 wk ahead cum death,quantile,0.4,2020-07-02,2020-07-25,1551
59,01,3 wk ahead cum death,quantile,0.45,2020-07-02,2020-07-25,1579
60,01,3 wk ahead cum death,quantile,0.5,2020-07-02,2020-07-25,1603
61,01,3 wk ahead cum death,quantile,0.55,2020-07-02,2020-07-25,1632
62,01,3 wk ahead cum death,quantile,0.6,2020-07-02,2020-07-25,1663
63,01,3 wk ahead cum death,quantile,0.65,2020-07-02,2020-07-25,1691
64,01,3 wk ahead cum death,quantile,0.7,2020-07-02,2020-07-25,1720
65,01,3 wk ahead cum death,quantile,0.75,2020-07-02,2020-07-25,1755
66,01,3 wk ahead cum death,quantile,0.8,2020-07-02,2020-07-25,1796
67,01,3 wk ahead cum death,quantile,0.85,2020-07-02,2020-07-25,1850
68,01,3 wk ahead cum death,quantile,0.9,2020-07-02,2020-07-25,1918
69,01,3 wk ahead cum death,quantile,0.95,2020-07-02,2020-07-25,2040
70,01,3 wk ahead cum death,quantile,0.975,2020-07-02,2020-07-25,2136
71,01,3 wk ahead cum death,quantile,0.99,2020-07-02,2020-07-25,2253
72,01,4 wk ahead cum death,point,,2020-07-02,2020-08-01,1927
73,01,4 wk ahead cum death,quantile,0.01,2020-07-02,2020-08-01,1305
74,01,4 wk ahead cum death,quantile,0.025,2020-07-02,2020-08-01,1388
75,01,4 wk ahead cum death,quantile,0.05,2020-07-02,2020-08-01,1463
76,01,4 wk ahead cum death,quantile,0.1,2020-07-02,2020-08-01,1547
77,01,4 wk ahead cum death,quantile,0.15,2020-07-02,2020-08-01,1604
78,01,4 wk ahead cum death,quantile,0.2,2020-07-02,2020-08-01,1655
79,01,4 wk ahead cum death,quantile,0.25,2020-07-02,2020-08-01,1702
80,01,4 wk ahead cum death,quantile,0.3,2020-07-02,2020-08-01,1743
81,01,4 wk ahead cum death,quantile,0.35,2020-07-02,2020-08-01,1788
82,01,4 wk ahead cum death,quantile,0.4,2020-07-02,2020-08-01,1840
83,01,4 wk ahead cum death,quantile,0.45,2020-07-02,2020-08-01,1886
84,01,4 wk ahead cum death,quantile,0.5,2020-07-02,2020-08-01,1927
85,01,4 wk ahead cum death,quantile,0.55,2020-07-02,2020-08-01,1973
86,01,4 wk ahead cum death,quantile,0.6,2020-07-02,2020-08-01,2028
87,01,4 wk ahead cum death,quantile,0.65,2020-07-02,2020-08-01,2077
88,01,4 wk ahead cum death,quantile,0.7,2020-07-02,2020-08-01,2132
89,01,4 wk ahead cum death,quantile,0.75,2020-07-02,2020-08-01,2189
90,01,4 wk ahead cum death,quantile,0.8,2020-07-02,2020-08-01,2253
91,01,4 wk ahead cum death,quantile,0.85,2020-07-02,2020-08-01,2338
92,01,4 wk ahead cum death,quantile,0.9,2020-07-02,2020-08-01,2465
93,01,4 wk ahead cum death,quantile,0.95,2020-07-02,2020-08-01,2663
94,01,4 wk ahead cum death,quantile,0.975,2020-07-02,2020-08-01,2820
95,01,4 wk ahead cum death,quantile,0.99,2020-07-02,2020-08-01,3016
96,02,1 wk ahead cum death,point,,2020-07-02,2020-07-11,14
97,02,1 wk ahead cum death,quantile,0.01,2020-07-02,2020-07-11,14
98,02,1 wk ahead cum death,quantile,0.025,2020-07-02,2020-07-11,14
99,02,1 wk ahead cum death,quantile,0.05,2020-07-02,2020-07-11,14
100,02,1 wk ahead cum death,quantile,0.1,2020-07-02,2020-07-11,14
101,02,1 wk ahead cum death,quantile,0.15,2020-07-02,2020-07-11,14
102,02,1 wk ahead cum death,quantile,0.2,2020-07-02,2020-07-11,14
103,02,1 wk ahead cum death,quantile,0.25,2020-07-02,2020-07-11,14
104,02,1 wk ahead cum death,quantile,0.3,2020-07-02,2020-07-11,14
105,02,1 wk ahead cum death,quantile,0.35,2020-07-02,2020-07-11,14
106,02,1 wk ahead cum death,quantile,0.4,2020-07-02,2020-07-11,14
107,02,1 wk ahead cum death,quantile,0.45,2020-07-02,2020-07-11,14
108,02,1 wk ahead cum death,quantile,0.5,2020-07-02,2020-07-11,14
109,02,1 wk ahead cum death,quantile,0.55,2020-07-02,2020-07-11,14
110,02,1 wk ahead cum death,quantile,0.6,2020-07-02,2020-07-11,14
