,location,target,type,quantile,forecast_date,target_end_date,value
0,01,1 wk ahead cum death,point,,2020-07-02,2020-07-11,1197
1,01,1 wk ahead cum death,quantile,0.01,2020-07-02,2020-07-11,1077
2,01,1 wk ahead cum death,quantile,0.025,2020-07-02,2020-07-11,1093
3,01,1 wk ahead cum death,quantile,0.05,2020-07-02,2020-07-11,1107
4,01,1 wk ahead cum death,quantile,0.1,2020-07-02,2020-07-11,1127
5,01,1 wk ahead cum death,quantile,0.15,2020-07-02,2020-07-11,1140
6,01,1 wk ahead cum death,quantile,0.2,2020-07-02,2020-07-11,1148
7,01,1 wk ahead cum death,quantile,0.25,2020-07-02,2020-07-11,1155
8,01,1 wk ahead cum death,quantile,0.3,2020-07-02,2020-07-11,1169
9,01,1 wk ahead cum death,quantile,0.35,2020-07-02,2020-07-11,1174
10,01,1 wk ahead cum death,quantile,0.4,2020-07-02,2020-07-11,1182
11,01,1 wk ahead cum death,quantile,0.45,2020-07-02,2020-07-11,1187
12,01,1 wk ahead cum death,quantile,0.5,2020-07-02,2020-07-11,1197
13,01,1 wk ahead cum death,quantile,0.55,2020-07-02,2020-07-11,1203
14,01,1 wk ahead cum death,quantile,0.6,2020-07-02,2020-07-11,1213
15,01,1 wk ahead cum death,quantile,0.65,2020-07-02,2020-07-11,1219
16,01,1 wk ahead cum death,quantile,0.7,2020-07-02,2020-07-11,1227
17,01,1 wk ahead cum death,quantile,0.75,2020-07-02,2020-07-11,1237
18,01,1 wk ahead cum death,quantile,0.8,2020-07-02,2020-07-11,1248
19,01,1 wk ahead cum death,quantile,0.85,2020-07-02,2020-07-11,1260
20,01,1 wk ahead cum death,quantile,0.9,2020-07-02,2020-07-11,1274
21,01,1 wk ahead cum death,quantile,0.95,2020-07-02,2020-07-11,1300
22,01,1 wk ahead cum death,quantile,0.975,2020-07-02,2020-07-11,1321
23,01,1 wk ahead cum death,quantile,0.99,2020-07-02,2020-07-11,1343
24,01,2 wk ahead cum death,point,,2020-07-02,2020-07-18,1350
25,01,2 wk ahead cum death,quantile,0.01,2020-07-02,2020-07-18,1134
26,01,2 wk ahead cum death,quantile,0.025,2020-07-02,2020-07-18,1160
27,01,2 wk ahead cum death,quantile,0.05,2020-07-02,2020-07-18,1185
28,01,2 wk ahead cum death,quantile,0.1,2020-07-02,2020-07-18,1221
29,01,2 wk ahead cum death,quantile,0.15,2020-07-02,2020-07-18,1242
30,01,2 wk ahead cum death,quantile,0.2,2020-07-02,2020-07-18,1260
31,01,2 wk ahead cum death,quantile,0.25,2020-07-02,2020-07-18,1274
32,01,2 wk ahead cum death,quantile,0.3,2020-07-02,2020-07-18,1298
33,01,2 wk ahead cum death,quantile,0.35,2020-07-02,2020-07-18,1307
34,01,2 wk ahead cum death,quantile,0.4,2020-07-02,2020-07-18,1321
35,01,2 wk ahead cum death,quantile,0.45,2020-07-02,2020-07-18,1333
36,01,2 wk ahead cum death,quantile,0.5,2020-07-02,2020-07-18,1350
37,01,2 wk ahead cum death,quantile,0.55,2020-07-02,2020-07-18,1360
38,01,2 wk ahead cum death,quantile,0.6,2020-07-02,2020-07-18,1378
39,01,2 wk ahead cum death,quantile,0.65,2020-07-02,2020-07-18,1391
40,01,2 wk ahead cum death,quantile,0.7,2020-07-02,2020-07-18,1406
41,01,2 wk ahead cum death,quantile,0.75,2020-07-02,2020-07-18,1426
42,01,2 wk ahead cum death,quantile,0.8,2020-07-02,2020-07-18,1445
43,01,2 wk ahead cum death,quantile,0.85,2020-07-02,2020-07-18,1472
44,01,2 wk ahead cum death,quantile,0.9,2020-07-02,2020-07-18,1506
45,01,2 wk ahead cum death,quantile,0.95,2020-07-02,2020-07-18,1555
46,01,2 wk ahead cum death,quantile,0.975,2020-07-02,2020-07-18,1596
47,01,2 wk ahead cum death,quantile,0.99,2020-07-02,2020-07-18,1653
48,01,3 wk ahead cum death,point,,2020-07-02,2020-07-25,1534
49,01,3 wk ahead cum death,quantile,0.01,2020-07-02,2020-07-25,1185
50,01,3 wk ahead cum death,quantile,0.025,2020-07-02,2020-07-25,1225
51,01,3 wk ahead cum death,quantile,0.05,2020-07-02,2020-07-25,1267
52,01,3 wk ahead cum death,quantile,0.1,2020-07-02,2020-07-25,1323
53,01,3 wk ahead cum death,quantile,0.15,2020-07-02,2020-07-25,1358
54,01,3 wk ahead cum death,quantile,0.2,2020-07-02,2020-07-25,1387
55,01,3 wk ahead cum death,quantile,0.25,2020-07-02,2020-07-25,1412
56,01,3 wk ahead cum death,quantile,0.3,2020-07-02,2020-07-25,1443
57,01,3 wk ahead cum death,quantile,0.35,2020-07-02,2020-07-25,1461
58,01,3 wk ahead cum death,quantile,0.4,2020-07-02,2020-07-25,1484
59,01,3 wk ahead cum death,quantile,0.45,2020-07-02,2020-07-25,1507
60,01,3 wk ahead cum death,quantile,0.5,2020-07-02,2020-07-25,1534
61,01,3 wk ahead cum death,quantile,0.55,2020-07-02,2020-07-25,1554
62,01,3 wk ahead cum death,quantile,0.6,2020-07-02,2020-07-25,1582
63,01,3 wk ahead cum death,quantile,0.65,2020-07-02,2020-07-25,1606
64,01,3 wk ahead cum death,quantile,0.7,2020-07-02,2020-07-25,1631
65,01,3 wk ahead cum death,quantile,0.75,2020-07-02,2020-07-25,1668
66,01,3 wk ahead cum death,quantile,0.8,2020-07-02,2020-07-25,1700
67,01,3 wk ahead cum death,quantile,0.85,2020-07-02,2020-07-25,1742
68,01,3 wk ahead cum death,quantile,0.9,2020-07-02,2020-07-25,1803
69,01,3 wk ahead cum death,quantile,0.95,2020-07-02,2020-07-25,1903
70,01,3 wk ahead cum death,quantile,0.975,2020-07-02,2020-07-25,1984
71,01,3 wk ahead cum death,quantile,0.99,2020-07-02,2020-07-25,2075
72,01,4 wk ahead cum death,point,,2020-07-02,2020-08-01,1759
73,01,4 wk ahead cum death,quantile,0.01,2020-07-02,2020-08-01,1241
74,01,4 wk ahead cum death,quantile,0.025,2020-07-02,2020-08-01,1300
