,location,target,type,quantile,forecast_date,target_end_date,value
0,01,1 wk ahead cum death,point,,2020-07-02,2020-07-11,1201
1,01,1 wk ahead cum death,quantile,0.01,2020-07-02,2020-07-11,1075
2,01,1 wk ahead cum death,quantile,0.025,2020-07-02,2020-07-11,1095
3,01,1 wk ahead cum death,quantile,0.05,2020-07-02,2020-07-11,1113
4,01,1 wk ahead cum death,quantile,0.1,2020-07-02,2020-07-11,1131
5,01,1 wk ahead cum death,quantile,0.15,2020-07-02,2020-07-11,1142
6,01,1 wk ahead cum death,quantile,0.2,2020-07-02,2020-07-11,1154
7,01,1 wk ahead cum death,quantile,0.25,2020-07-02,2020-07-11,1163
8,01,1 wk ahead cum death,quantile,0.3,2020-07-02,2020-07-11,1172
9,01,1 wk ahead cum death,quantile,0.35,2020-07-02,2020-07-11,1181
10,01,1 wk ahead cum death,quantile,0.4,2020-07-02,2020-07-11,1185
11,01,1 wk ahead cum death,quantile,0.45,2020-07-02,2020-07-11,1194
12,01,1 wk ahead cum death,quantile,0.5,2020-07-02,2020-07-11,1201
13,01,1 wk ahead cum death,quantile,0.55,2020-07-02,2020-07-11,1209
14,01,1 wk ahead cum death,quantile,0.6,2020-07-02,2020-07-11,1216
15,01,1 wk ahead cum death,quantile,0.65,2020-07-02,2020-07-11,1222
16,01,1 wk ahead cum death,quantile,0.7,2020-07-02,2020-07-11,1232
17,01,1 wk ahead cum death,quantile,0.75,2020-07-02,2020-07-11,1243
18,01,1 wk ahead cum death,quantile,0.8,2020-07-02,2020-07-11,1253
19,01,1 wk ahead cum death,quantile,0.85,2020-07-02,2020-07-11,1268
20,01,1 wk ahead cum death,quantile,0.9,2020-07-02,2020-07-11,1284
21,01,1 wk ahead cum death,quantile,0.95,2020-07-02,2020-07-11,1310
22,01,1 wk ahead cum death,quantile,0.975,2020-07-02,2020-07-11,1322
23,01,1 wk ahead cum death,quantile,0.99,2020-07-02,2020-07-11,1362
24,01,2 wk ahead cum death,point,,2020-07-02,2020-07-18,1372
25,01,2 wk ahead cum death,quantile,0.01,2020-07-02,2020-07-18,1144
26,01,2 wk ahead cum death,quantile,0.025,2020-07-02,2020-07-18,1175
27,01,2 wk ahead cum death,quantile,0.05,2020-07-02,2020-07-18,1203
28,01,2 wk ahead cum death,quantile,0.1,2020-07-02,2020-07-18,1238
29,01,2 wk ahead cum death,quantile,0.15,2020-07-02,2020-07-18,1262
30,01,2 wk ahead cum death,quantile,0.2,2020-07-02,2020-07-18,1282
31,01,2 wk ahead cum death,quantile,0.25,2020-07-02,2020-07-18,1299
32,01,2 wk ahead cum death,quantile,0.3,2020-07-02,2020-07-18,1314
33,01,2 wk ahead cum death,quantile,0.35,2020-07-02,2020-07-18,1333
34,01,2 wk ahead cum death,quantile,0.4,2020-07-02,2020-07-18,1342
35,01,2 wk ahead cum death,quantile,0.45,2020-07-02,2020-07-18,1358
36,01,2 wk ahead cum death,quantile,0.5,2020-07-02,2020-07-18,1372
