,location,target,type,quantile,forecast_date,target_end_date,value
0,US,1 day ahead cum death,point,,2020-06-16,2020-06-17,117394
1,US,2 day ahead cum death,point,,2020-06-16,2020-06-18,118003
2,US,3 day ahead cum death,point,,2020-06-16,2020-06-19,118598
3,US,4 day ahead cum death,point,,2020-06-16,2020-06-20,119180
4,US,5 day ahead cum death,point,,2020-06-16,2020-06-21,119751
5,US,6 day ahead cum death,point,,2020-06-16,2020-06-22,120309
6,US,7 day ahead cum death,point,,2020-06-16,2020-06-23,120855
7,US,8 day ahead cum death,point,,2020-06-16,2020-06-24,121390
8,US,9 day ahead cum death,point,,2020-06-16,2020-06-25,121914
9,US,10 day ahead cum death,point,,2020-06-16,2020-06-26,122427
10,US,11 day ahead cum death,point,,2020-06-16,2020-06-27,122928
11,US,12 day ahead cum death,point,,2020-06-16,2020-06-28,123420
12,US,13 day ahead cum death,point,,2020-06-16,2020-06-29,123900
13,US,14 day ahead cum death,point,,2020-06-16,2020-06-30,124371
14,US,1 day ahead cum death,quantile,0.01,2020-06-16,2020-06-17,117293
15,US,2 day ahead cum death,quantile,0.01,2020-06-16,2020-06-18,117879
16,US,3 day ahead cum death,quantile,0.01,2020-06-16,2020-06-19,118451
17,US,4 day ahead cum death,quantile,0.01,2020-06-16,2020-06-20,119003
18,US,5 day ahead cum death,quantile,0.01,2020-06-16,2020-06-21,119539
19,US,6 day ahead cum death,quantile,0.01,2020-06-16,2020-06-22,120052
20,US,7 day ahead cum death,quantile,0.01,2020-06-16,2020-06-23,120555
21,US,8 day ahead cum death,quantile,0.01,2020-06-16,2020-06-24,121041
22,US,9 day ahead cum death,quantile,0.01,2020-06-16,2020-06-25,121511
23,US,10 day ahead cum death,quantile,0.01,2020-06-16,2020-06-26,121965
24,US,11 day ahead cum death,quantile,0.01,2020-06-16,2020-06-27,122402
25,US,12 day ahead cum death,quantile,0.01,2020-06-16,2020-06-28,122823
26,US,13 day ahead cum death,quantile,0.01,2020-06-16,2020-06-29,123228
27,US,14 day ahead cum death,quantile,0.01,2020-06-16,2020-06-30,123615
28,US,1 day ahead cum death,quantile,0.025,2020-06-16,2020-06-17,117318
29,US,2 day ahead cum death,quantile,0.025,2020-06-16,2020-06-18,117909
30,US,3 day ahead cum death,quantile,0.025,2020-06-16,2020-06-19,118485
31,US,4 day ahead cum death,quantile,0.025,2020-06-16,2020-06-20,119046
32,US,5 day ahead cum death,quantile,0.025,2020-06-16,2020-06-21,119591
33,US,6 day ahead cum death,quantile,0.025,2020-06-16,2020-06-22,120120
34,US,7 day ahead cum death,quantile,0.025,2020-06-16,2020-06-23,120634
35,US,8 day ahead cum death,quantile,0.025,2020-06-16,2020-06-24,121140
36,US,9 day ahead cum death,quantile,0.025,2020-06-16,2020-06-25,121624
37,US,10 day ahead cum death,quantile,0.025,2020-06-16,2020-06-26,122093
38,US,11 day ahead cum death,quantile,0.025,2020-06-16,2020-06-27,122548
39,US,12 day ahead cum death,quantile,0.025,2020-06-16,2020-06-28,122987
40,US,13 day ahead cum death,quantile,0.025,2020-06-16,2020-06-29,123411
41,US,14 day ahead cum death,quantile,0.025,2020-06-16,2020-06-30,123820
42,US,1 day ahead cum death,quantile,0.05,2020-06-16,2020-06-17,117333
43,US,2 day ahead cum death,quantile,0.05,2020-06-16,2020-06-18,117929
44,US,3 day ahead cum death,quantile,0.05,2020-06-16,2020-06-19,118511
45,US,4 day ahead cum death,quantile,0.05,2020-06-16,2020-06-20,119078
46,US,5 day ahead cum death,quantile,0.05,2020-06-16,2020-06-21,119630
47,US,6 day ahead cum death,quantile,0.05,2020-06-16,2020-06-22,120171
48,US,7 day ahead cum death,quantile,0.05,2020-06-16,2020-06-23,120694
49,US,8 day ahead cum death,quantile,0.05,2020-06-16,2020-06-24,121204
50,US,9 day ahead cum death,quantile,0.05,2020-06-16,2020-06-25,121701
51,US,10 day ahead cum death,quantile,0.05,2020-06-16,2020-06-26,122183
52,US,11 day ahead cum death,quantile,0.05,2020-06-16,2020-06-27,122652
53,US,12 day ahead cum death,quantile,0.05,2020-06-16,2020-06-28,123105
54,US,13 day ahead cum death,quantile,0.05,2020-06-16,2020-06-29,123544
55,US,14 day ahead cum death,quantile,0.05,2020-06-16,2020-06-30,123970
56,US,1 day ahead cum death,quantile,0.1,2020-06-16,2020-06-17,117351
57,US,2 day ahead cum death,quantile,0.1,2020-06-16,2020-06-18,117951
58,US,3 day ahead cum death,quantile,0.1,2020-06-16,2020-06-19,118536
59,US,4 day ahead cum death,quantile,0.1,2020-06-16,2020-06-20,119108
60,US,5 day ahead cum death,quantile,0.1,2020-06-16,2020-06-21,119665
61,US,6 day ahead cum death,quantile,0.1,2020-06-16,2020-06-22,120210
62,US,7 day ahead cum death,quantile,0.1,2020-06-16,2020-06-23,120741
