,location,target,type,quantile,value
0,US,1 day ahead cum death,point,,126083
1,US,2 day ahead cum death,point,,126775
2,US,3 day ahead cum death,point,,127469
3,US,4 day ahead cum death,point,,128165
4,US,5 day ahead cum death,point,,128864
5,US,6 day ahead cum death,point,,129566
6,US,7 day ahead cum death,point,,130271
7,US,8 day ahead cum death,point,,130981
8,US,9 day ahead cum death,point,,131695
9,US,10 day ahead cum death,point,,132413
10,US,11 day ahead cum death,point,,133138
11,US,12 day ahead cum death,point,,133868
12,US,13 day ahead cum death,point,,134605
13,US,14 day ahead cum death,point,,135348
14,US,15 day ahead cum death,point,,136100
15,US,16 day ahead cum death,point,,136859
16,US,17 day ahead cum death,point,,137626
17,US,18 day ahead cum death,point,,138403
18,US,19 day ahead cum death,point,,139190
19,US,20 day ahead cum death,point,,139987
20,US,21 day ahead cum death,point,,140795
21,US,22 day ahead cum death,point,,141614
22,US,23 day ahead cum death,point,,142446
23,US,24 day ahead cum death,point,,143290
24,US,25 day ahead cum death,point,,144148
25,US,26 day ahead cum death,point,,145021
26,US,27 day ahead cum death,point,,145908
27,US,28 day ahead cum death,point,,146812
28,US,29 day ahead cum death,point,,147731
29,US,30 day ahead cum death,point,,148669
30,US,1 day ahead cum death,quantile,0.01,124891
31,US,2 day ahead cum death,quantile,0.01,125413
32,US,3 day ahead cum death,quantile,0.01,125926
33,US,4 day ahead cum death,quantile,0.01,126440
34,US,5 day ahead cum death,quantile,0.01,126923
35,US,6 day ahead cum death,quantile,0.01,127383
36,US,7 day ahead cum death,quantile,0.01,127800
37,US,8 day ahead cum death,quantile,0.01,128245
38,US,9 day ahead cum death,quantile,0.01,128669
39,US,10 day ahead cum death,quantile,0.01,129070
40,US,11 day ahead cum death,quantile,0.01,129457
41,US,12 day ahead cum death,quantile,0.01,129843
42,US,13 day ahead cum death,quantile,0.01,130264
43,US,14 day ahead cum death,quantile,0.01,130677
44,US,15 day ahead cum death,quantile,0.01,131025
45,US,16 day ahead cum death,quantile,0.01,131360
46,US,17 day ahead cum death,quantile,0.01,131684
47,US,18 day ahead cum death,quantile,0.01,131996
48,US,19 day ahead cum death,quantile,0.01,132298
49,US,20 day ahead cum death,quantile,0.01,132590
50,US,21 day ahead cum death,quantile,0.01,132872
51,US,22 day ahead cum death,quantile,0.01,133144
52,US,23 day ahead cum death,quantile,0.01,133409
53,US,24 day ahead cum death,quantile,0.01,133792
54,US,25 day ahead cum death,quantile,0.01,134182
55,US,26 day ahead cum death,quantile,0.01,134435
56,US,27 day ahead cum death,quantile,0.01,134673
57,US,28 day ahead cum death,quantile,0.01,134897
58,US,29 day ahead cum death,quantile,0.01,135160
59,US,30 day ahead cum death,quantile,0.01,135391
60,US,1 day ahead cum death,quantile,0.025,125009
61,US,2 day ahead cum death,quantile,0.025,125565
62,US,3 day ahead cum death,quantile,0.025,126067
63,US,4 day ahead cum death,quantile,0.025,126589
64,US,5 day ahead cum death,quantile,0.025,127106
65,US,6 day ahead cum death,quantile,0.025,127612
66,US,7 day ahead cum death,quantile,0.025,128068
67,US,8 day ahead cum death,quantile,0.025,128551
68,US,9 day ahead cum death,quantile,0.025,129031
69,US,10 day ahead cum death,quantile,0.025,129505
70,US,11 day ahead cum death,quantile,0.025,129969
71,US,12 day ahead cum death,quantile,0.025,130421
72,US,13 day ahead cum death,quantile,0.025,130849
73,US,14 day ahead cum death,quantile,0.025,131265
74,US,15 day ahead cum death,quantile,0.025,131673
75,US,16 day ahead cum death,quantile,0.025,132094
76,US,17 day ahead cum death,quantile,0.025,132467
77,US,18 day ahead cum death,quantile,0.025,132870
78,US,19 day ahead cum death,quantile,0.025,133293
79,US,20 day ahead cum death,quantile,0.025,133694
80,US,21 day ahead cum death,quantile,0.025,134101
81,US,22 day ahead cum death,quantile,0.025,134460
82,US,23 day ahead cum death,quantile,0.025,134804
83,US,24 day ahead cum death,quantile,0.025,135130
84,US,25 day ahead cum death,quantile,0.025,135448
85,US,26 day ahead cum death,quantile,0.025,135800
86,US,27 day ahead cum death,quantile,0.025,136157
87,US,28 day ahead cum death,quantile,0.025,136512
88,US,29 day ahead cum death,quantile,0.025,136830
89,US,30 day ahead cum death,quantile,0.025,137212
90,US,1 day ahead cum death,quantile,0.05,125191
91,US,2 day ahead cum death,quantile,0.05,125751
92,US,3 day ahead cum death,quantile,0.05,126304
93,US,4 day ahead cum death,quantile,0.05,126851
94,US,5 day ahead cum death,quantile,0.05,127377
95,US,6 day ahead cum death,quantile,0.05,127900
96,US,7 day ahead cum death,quantile,0.05,128394
97,US,8 day ahead cum death,quantile,0.05,128889
98,US,9 day ahead cum death,quantile,0.05,129377
99,US,10 day ahead cum death,quantile,0.05,129843
100,US,11 day ahead cum death,quantile,0.05,130297
101,US,12 day ahead cum death,quantile,0.05,130771
102,US,13 day ahead cum death,quantile,0.05,131217
103,US,14 day ahead cum death,quantile,0.05,131660
104,US,15 day ahead cum death,quantile,0.05,132092
105,US,16 day ahead cum death,quantile,0.05,132517
106,US,17 day ahead cum death,quantile,0.05,132936
107,US,18 day ahead cum death,quantile,0.05,133348
108,US,19 day ahead cum death,quantile,0.05,133765
109,US,20 day ahead cum death,quantile,0.05,134152
110,US,21 day ahead cum death,quantile,0.05,134547
111,US,22 day ahead cum death,quantile,0.05,134937
112,US,23 day ahead cum death,quantile,0.05,135322
113,US,24 day ahead cum death,quantile,0.05,135706
114,US,25 day ahead cum death,quantile,0.05,136090
115,US,26 day ahead cum death,quantile,0.05,136481
116,US,27 day ahead cum death,quantile,0.05,136902
117,US,28 day ahead cum death,quantile,0.05,137359
118,US,29 day ahead cum death,quantile,0.05,137726
119,US,30 day ahead cum death,quantile,0.05,138091
120,US,1 day ahead cum death,quantile,0.1,125307
121,US,2 day ahead cum death,quantile,0.1,125899
122,US,3 day ahead cum death,quantile,0.1,126479
123,US,4 day ahead cum death,quantile,0.1,127070
124,US,5 day ahead cum death,quantile,0.1,127634
125,US,6 day ahead cum death,quantile,0.1,128184
126,US,7 day ahead cum death,quantile,0.1,128726
127,US,8 day ahead cum death,quantile,0.1,129276
128,US,9 day ahead cum death,quantile,0.1,129800
129,US,10 day ahead cum death,quantile,0.1,130323
130,US,11 day ahead cum death,quantile,0.1,130842
131,US,12 day ahead cum death,quantile,0.1,131359
132,US,13 day ahead cum death,quantile,0.1,131871
133,US,14 day ahead cum death,quantile,0.1,132371
134,US,15 day ahead cum death,quantile,0.1,132866
135,US,16 day ahead cum death,quantile,0.1,133358
136,US,17 day ahead cum death,quantile,0.1,133846
137,US,18 day ahead cum death,quantile,0.1,134342
138,US,19 day ahead cum death,quantile,0.1,134813
139,US,20 day ahead cum death,quantile,0.1,135285
140,US,21 day ahead cum death,quantile,0.1,135753
141,US,22 day ahead cum death,quantile,0.1,136220
142,US,23 day ahead cum death,quantile,0.1,136674
143,US,24 day ahead cum death,quantile,0.1,137131
144,US,25 day ahead cum death,quantile,0.1,137607
145,US,26 day ahead cum death,quantile,0.1,138075
146,US,27 day ahead cum death,quantile,0.1,138546
147,US,28 day ahead cum death,quantile,0.1,139002
148,US,29 day ahead cum death,quantile,0.1,139441
149,US,30 day ahead cum death,quantile,0.1,139877
150,US,1 day ahead cum death,quantile,0.15,125418
151,US,2 day ahead cum death,quantile,0.15,126025
152,US,3 day ahead cum death,quantile,0.15,126614
153,US,4 day ahead cum death,quantile,0.15,127202
154,US,5 day ahead cum death,quantile,0.15,127772
155,US,6 day ahead cum death,quantile,0.15,128341
156,US,7 day ahead cum death,quantile,0.15,128904
157,US,8 day ahead cum death,quantile,0.15,129462
158,US,9 day ahead cum death,quantile,0.15,130011
159,US,10 day ahead cum death,quantile,0.15,130565
160,US,11 day ahead cum death,quantile,0.15,131119
161,US,12 day ahead cum death,quantile,0.15,131665
162,US,13 day ahead cum death,quantile,0.15,132204
163,US,14 day ahead cum death,quantile,0.15,132741
164,US,15 day ahead cum death,quantile,0.15,133271
165,US,16 day ahead cum death,quantile,0.15,133805
166,US,17 day ahead cum death,quantile,0.15,134323
167,US,18 day ahead cum death,quantile,0.15,134856
168,US,19 day ahead cum death,quantile,0.15,135384
169,US,20 day ahead cum death,quantile,0.15,135919
170,US,21 day ahead cum death,quantile,0.15,136429
171,US,22 day ahead cum death,quantile,0.15,136935
172,US,23 day ahead cum death,quantile,0.15,137438
173,US,24 day ahead cum death,quantile,0.15,137951
174,US,25 day ahead cum death,quantile,0.15,138494
175,US,26 day ahead cum death,quantile,0.15,139013
176,US,27 day ahead cum death,quantile,0.15,139534
177,US,28 day ahead cum death,quantile,0.15,140051
178,US,29 day ahead cum death,quantile,0.15,140564
179,US,30 day ahead cum death,quantile,0.15,141129
180,US,1 day ahead cum death,quantile,0.2,125518
181,US,2 day ahead cum death,quantile,0.2,126130
182,US,3 day ahead cum death,quantile,0.2,126720
183,US,4 day ahead cum death,quantile,0.2,127303
184,US,5 day ahead cum death,quantile,0.2,127892
185,US,6 day ahead cum death,quantile,0.2,128468
186,US,7 day ahead cum death,quantile,0.2,129059
187,US,8 day ahead cum death,quantile,0.2,129630
188,US,9 day ahead cum death,quantile,0.2,130207
189,US,10 day ahead cum death,quantile,0.2,130783
190,US,11 day ahead cum death,quantile,0.2,131338
191,US,12 day ahead cum death,quantile,0.2,131898
192,US,13 day ahead cum death,quantile,0.2,132474
193,US,14 day ahead cum death,quantile,0.2,133026
194,US,15 day ahead cum death,quantile,0.2,133577
195,US,16 day ahead cum death,quantile,0.2,134130
196,US,17 day ahead cum death,quantile,0.2,134675
197,US,18 day ahead cum death,quantile,0.2,135226
198,US,19 day ahead cum death,quantile,0.2,135775
199,US,20 day ahead cum death,quantile,0.2,136336
200,US,21 day ahead cum death,quantile,0.2,136868
201,US,22 day ahead cum death,quantile,0.2,137419
202,US,23 day ahead cum death,quantile,0.2,137965
203,US,24 day ahead cum death,quantile,0.2,138506
204,US,25 day ahead cum death,quantile,0.2,139064
205,US,26 day ahead cum death,quantile,0.2,139603
206,US,27 day ahead cum death,quantile,0.2,140155
207,US,28 day ahead cum death,quantile,0.2,140723
208,US,29 day ahead cum death,quantile,0.2,141317
209,US,30 day ahead cum death,quantile,0.2,141903
210,US,1 day ahead cum death,quantile,0.25,125600
211,US,2 day ahead cum death,quantile,0.25,126217
212,US,3 day ahead cum death,quantile,0.25,126831
213,US,4 day ahead cum death,quantile,0.25,127441
214,US,5 day ahead cum death,quantile,0.25,128036
215,US,6 day ahead cum death,quantile,0.25,128633
216,US,7 day ahead cum death,quantile,0.25,129227
217,US,8 day ahead cum death,quantile,0.25,129820
218,US,9 day ahead cum death,quantile,0.25,130412
219,US,10 day ahead cum death,quantile,0.25,130989
220,US,11 day ahead cum death,quantile,0.25,131574
221,US,12 day ahead cum death,quantile,0.25,132149
222,US,13 day ahead cum death,quantile,0.25,132726
223,US,14 day ahead cum death,quantile,0.25,133310
224,US,15 day ahead cum death,quantile,0.25,133894
225,US,16 day ahead cum death,quantile,0.25,134474
226,US,17 day ahead cum death,quantile,0.25,135049
227,US,18 day ahead cum death,quantile,0.25,135624
228,US,19 day ahead cum death,quantile,0.25,136195
229,US,20 day ahead cum death,quantile,0.25,136744
230,US,21 day ahead cum death,quantile,0.25,137303
231,US,22 day ahead cum death,quantile,0.25,137868
232,US,23 day ahead cum death,quantile,0.25,138447
233,US,24 day ahead cum death,quantile,0.25,139022
234,US,25 day ahead cum death,quantile,0.25,139587
235,US,26 day ahead cum death,quantile,0.25,140153
236,US,27 day ahead cum death,quantile,0.25,140719
237,US,28 day ahead cum death,quantile,0.25,141291
238,US,29 day ahead cum death,quantile,0.25,141896
239,US,30 day ahead cum death,quantile,0.25,142511
240,US,1 day ahead cum death,quantile,0.3,125669
241,US,2 day ahead cum death,quantile,0.3,126298
242,US,3 day ahead cum death,quantile,0.3,126932
243,US,4 day ahead cum death,quantile,0.3,127552
244,US,5 day ahead cum death,quantile,0.3,128168
245,US,6 day ahead cum death,quantile,0.3,128778
246,US,7 day ahead cum death,quantile,0.3,129386
247,US,8 day ahead cum death,quantile,0.3,129980
248,US,9 day ahead cum death,quantile,0.3,130584
249,US,10 day ahead cum death,quantile,0.3,131176
250,US,11 day ahead cum death,quantile,0.3,131768
251,US,12 day ahead cum death,quantile,0.3,132383
252,US,13 day ahead cum death,quantile,0.3,132957
253,US,14 day ahead cum death,quantile,0.3,133545
254,US,15 day ahead cum death,quantile,0.3,134112
255,US,16 day ahead cum death,quantile,0.3,134681
256,US,17 day ahead cum death,quantile,0.3,135285
257,US,18 day ahead cum death,quantile,0.3,135865
258,US,19 day ahead cum death,quantile,0.3,136474
259,US,20 day ahead cum death,quantile,0.3,137078
260,US,21 day ahead cum death,quantile,0.3,137685
261,US,22 day ahead cum death,quantile,0.3,138296
262,US,23 day ahead cum death,quantile,0.3,138909
263,US,24 day ahead cum death,quantile,0.3,139514
264,US,25 day ahead cum death,quantile,0.3,140125
265,US,26 day ahead cum death,quantile,0.3,140738
266,US,27 day ahead cum death,quantile,0.3,141362
267,US,28 day ahead cum death,quantile,0.3,141973
268,US,29 day ahead cum death,quantile,0.3,142602
269,US,30 day ahead cum death,quantile,0.3,143221
270,US,1 day ahead cum death,quantile,0.35,125755
271,US,2 day ahead cum death,quantile,0.35,126383
272,US,3 day ahead cum death,quantile,0.35,127014
273,US,4 day ahead cum death,quantile,0.35,127636
274,US,5 day ahead cum death,quantile,0.35,128266
275,US,6 day ahead cum death,quantile,0.35,128898
276,US,7 day ahead cum death,quantile,0.35,129511
277,US,8 day ahead cum death,quantile,0.35,130129
278,US,9 day ahead cum death,quantile,0.35,130755
279,US,10 day ahead cum death,quantile,0.35,131360
280,US,11 day ahead cum death,quantile,0.35,131975
281,US,12 day ahead cum death,quantile,0.35,132609
282,US,13 day ahead cum death,quantile,0.35,133223
283,US,14 day ahead cum death,quantile,0.35,133827
284,US,15 day ahead cum death,quantile,0.35,134446
285,US,16 day ahead cum death,quantile,0.35,135066
286,US,17 day ahead cum death,quantile,0.35,135678
287,US,18 day ahead cum death,quantile,0.35,136285
288,US,19 day ahead cum death,quantile,0.35,136908
289,US,20 day ahead cum death,quantile,0.35,137522
290,US,21 day ahead cum death,quantile,0.35,138147
291,US,22 day ahead cum death,quantile,0.35,138782
292,US,23 day ahead cum death,quantile,0.35,139420
293,US,24 day ahead cum death,quantile,0.35,140055
294,US,25 day ahead cum death,quantile,0.35,140695
295,US,26 day ahead cum death,quantile,0.35,141344
296,US,27 day ahead cum death,quantile,0.35,141993
297,US,28 day ahead cum death,quantile,0.35,142636
298,US,29 day ahead cum death,quantile,0.35,143286
299,US,30 day ahead cum death,quantile,0.35,143937
300,US,1 day ahead cum death,quantile,0.4,125818
301,US,2 day ahead cum death,quantile,0.4,126457
302,US,3 day ahead cum death,quantile,0.4,127093
303,US,4 day ahead cum death,quantile,0.4,127735
304,US,5 day ahead cum death,quantile,0.4,128362
305,US,6 day ahead cum death,quantile,0.4,129006
306,US,7 day ahead cum death,quantile,0.4,129646
307,US,8 day ahead cum death,quantile,0.4,130274
308,US,9 day ahead cum death,quantile,0.4,130909
309,US,10 day ahead cum death,quantile,0.4,131552
310,US,11 day ahead cum death,quantile,0.4,132179
311,US,12 day ahead cum death,quantile,0.4,132815
312,US,13 day ahead cum death,quantile,0.4,133446
313,US,14 day ahead cum death,quantile,0.4,134081
314,US,15 day ahead cum death,quantile,0.4,134718
315,US,16 day ahead cum death,quantile,0.4,135363
316,US,17 day ahead cum death,quantile,0.4,136015
317,US,18 day ahead cum death,quantile,0.4,136651
318,US,19 day ahead cum death,quantile,0.4,137298
319,US,20 day ahead cum death,quantile,0.4,137935
320,US,21 day ahead cum death,quantile,0.4,138599
321,US,22 day ahead cum death,quantile,0.4,139262
322,US,23 day ahead cum death,quantile,0.4,139915
323,US,24 day ahead cum death,quantile,0.4,140583
324,US,25 day ahead cum death,quantile,0.4,141251
325,US,26 day ahead cum death,quantile,0.4,141932
326,US,27 day ahead cum death,quantile,0.4,142617
327,US,28 day ahead cum death,quantile,0.4,143300
328,US,29 day ahead cum death,quantile,0.4,143995
329,US,30 day ahead cum death,quantile,0.4,144709
330,US,1 day ahead cum death,quantile,0.45,125879
331,US,2 day ahead cum death,quantile,0.45,126535
332,US,3 day ahead cum death,quantile,0.45,127193
333,US,4 day ahead cum death,quantile,0.45,127851
334,US,5 day ahead cum death,quantile,0.45,128491
335,US,6 day ahead cum death,quantile,0.45,129132
336,US,7 day ahead cum death,quantile,0.45,129764
337,US,8 day ahead cum death,quantile,0.45,130417
338,US,9 day ahead cum death,quantile,0.45,131059
339,US,10 day ahead cum death,quantile,0.45,131705
340,US,11 day ahead cum death,quantile,0.45,132352
341,US,12 day ahead cum death,quantile,0.45,133010
342,US,13 day ahead cum death,quantile,0.45,133660
343,US,14 day ahead cum death,quantile,0.45,134294
344,US,15 day ahead cum death,quantile,0.45,134956
345,US,16 day ahead cum death,quantile,0.45,135612
346,US,17 day ahead cum death,quantile,0.45,136287
347,US,18 day ahead cum death,quantile,0.45,136953
348,US,19 day ahead cum death,quantile,0.45,137609
349,US,20 day ahead cum death,quantile,0.45,138270
350,US,21 day ahead cum death,quantile,0.45,138960
351,US,22 day ahead cum death,quantile,0.45,139651
352,US,23 day ahead cum death,quantile,0.45,140336
353,US,24 day ahead cum death,quantile,0.45,141033
354,US,25 day ahead cum death,quantile,0.45,141742
355,US,26 day ahead cum death,quantile,0.45,142452
356,US,27 day ahead cum death,quantile,0.45,143161
357,US,28 day ahead cum death,quantile,0.45,143903
358,US,29 day ahead cum death,quantile,0.45,144632
359,US,30 day ahead cum death,quantile,0.45,145363
360,US,1 day ahead cum death,quantile,0.5,125940
361,US,2 day ahead cum death,quantile,0.5,126595
362,US,3 day ahead cum death,quantile,0.5,127258
363,US,4 day ahead cum death,quantile,0.5,127919
364,US,5 day ahead cum death,quantile,0.5,128585
365,US,6 day ahead cum death,quantile,0.5,129249
366,US,7 day ahead cum death,quantile,0.5,129906
367,US,8 day ahead cum death,quantile,0.5,130557
368,US,9 day ahead cum death,quantile,0.5,131210
369,US,10 day ahead cum death,quantile,0.5,131869
370,US,11 day ahead cum death,quantile,0.5,132521
371,US,12 day ahead cum death,quantile,0.5,133183
372,US,13 day ahead cum death,quantile,0.5,133855
373,US,14 day ahead cum death,quantile,0.5,134526
374,US,15 day ahead cum death,quantile,0.5,135210
375,US,16 day ahead cum death,quantile,0.5,135875
376,US,17 day ahead cum death,quantile,0.5,136557
377,US,18 day ahead cum death,quantile,0.5,137241
378,US,19 day ahead cum death,quantile,0.5,137928
379,US,20 day ahead cum death,quantile,0.5,138617
380,US,21 day ahead cum death,quantile,0.5,139320
381,US,22 day ahead cum death,quantile,0.5,140024
382,US,23 day ahead cum death,quantile,0.5,140730
383,US,24 day ahead cum death,quantile,0.5,141472
384,US,25 day ahead cum death,quantile,0.5,142198
