,location,target,type,quantile,value
0,US,1 wk ahead inc death,point,,6166.16
1,US,1 wk ahead inc death,quantile,0.01,3168.1042
2,US,1 wk ahead inc death,quantile,0.025,3528.2996
3,US,1 wk ahead inc death,quantile,0.05,4103.329
4,US,1 wk ahead inc death,quantile,0.1,4498.9897
5,US,1 wk ahead inc death,quantile,0.15,4750.3785
6,US,1 wk ahead inc death,quantile,0.2,4989.7087
7,US,1 wk ahead inc death,quantile,0.25,5177.8088
8,US,1 wk ahead inc death,quantile,0.3,5478.4394
9,US,1 wk ahead inc death,quantile,0.35,5668.3535
10,US,1 wk ahead inc death,quantile,0.4,5812.2578
11,US,1 wk ahead inc death,quantile,0.45,5958.1998
12,US,1 wk ahead inc death,quantile,0.5,6054.7866
13,US,1 wk ahead inc death,quantile,0.55,6202.9045
14,US,1 wk ahead inc death,quantile,0.6,6335.7758
15,US,1 wk ahead inc death,quantile,0.65,6570.2418
16,US,1 wk ahead inc death,quantile,0.7,6753.872
17,US,1 wk ahead inc death,quantile,0.75,6825.0884
18,US,1 wk ahead inc death,quantile,0.8,7021.6938
19,US,1 wk ahead inc death,quantile,0.85,7369.2244
20,US,1 wk ahead inc death,quantile,0.9,8086.738
21,US,1 wk ahead inc death,quantile,0.95,9096.5819
22,US,1 wk ahead inc death,quantile,0.975,9704.9793
23,US,1 wk ahead inc death,quantile,0.99,9902.086
24,US,1 wk ahead cum death,point,,109936.158
25,US,1 wk ahead cum death,quantile,0.01,106938.1042
26,US,1 wk ahead cum death,quantile,0.025,107298.2996
27,US,1 wk ahead cum death,quantile,0.05,107873.329
28,US,1 wk ahead cum death,quantile,0.1,108268.9897
29,US,1 wk ahead cum death,quantile,0.15,108520.3785
30,US,1 wk ahead cum death,quantile,0.2,108759.7087
31,US,1 wk ahead cum death,quantile,0.25,108947.8088
32,US,1 wk ahead cum death,quantile,0.3,109248.4394
33,US,1 wk ahead cum death,quantile,0.35,109438.3535
34,US,1 wk ahead cum death,quantile,0.4,109582.2578
35,US,1 wk ahead cum death,quantile,0.45,109728.1998
36,US,1 wk ahead cum death,quantile,0.5,109824.7866
37,US,1 wk ahead cum death,quantile,0.55,109972.9045
38,US,1 wk ahead cum death,quantile,0.6,110105.7758
39,US,1 wk ahead cum death,quantile,0.65,110340.2418
40,US,1 wk ahead cum death,quantile,0.7,110523.872
41,US,1 wk ahead cum death,quantile,0.75,110595.0884
42,US,1 wk ahead cum death,quantile,0.8,110791.6938
43,US,1 wk ahead cum death,quantile,0.85,111139.2244
44,US,1 wk ahead cum death,quantile,0.9,111856.738
45,US,1 wk ahead cum death,quantile,0.95,112866.5819
46,US,1 wk ahead cum death,quantile,0.975,113474.9793
47,US,1 wk ahead cum death,quantile,0.99,113672.086
48,US,2 wk ahead inc death,point,,5534.91
49,US,2 wk ahead inc death,quantile,0.01,1981.3562
50,US,2 wk ahead inc death,quantile,0.025,2595.8398
51,US,2 wk ahead inc death,quantile,0.05,2799.0443
52,US,2 wk ahead inc death,quantile,0.1,3235.7947
53,US,2 wk ahead inc death,quantile,0.15,3447.6139
54,US,2 wk ahead inc death,quantile,0.2,3817.6994
55,US,2 wk ahead inc death,quantile,0.25,4080.6947
56,US,2 wk ahead inc death,quantile,0.3,4285.2559
57,US,2 wk ahead inc death,quantile,0.35,4442.8421
58,US,2 wk ahead inc death,quantile,0.4,4692.5222
59,US,2 wk ahead inc death,quantile,0.45,4985.1246
60,US,2 wk ahead inc death,quantile,0.5,5147.385
61,US,2 wk ahead inc death,quantile,0.55,5397.5542
