,location,target,type,quantile,value
0,13,1 wk ahead inc death,point,,218.0
1,13,1 wk ahead inc death,quantile,0.01,142.9
2,13,1 wk ahead inc death,quantile,0.025,147.25
3,13,1 wk ahead inc death,quantile,0.05,150.0
4,13,1 wk ahead inc death,quantile,0.1,159.0
5,13,1 wk ahead inc death,quantile,0.15,170.0
6,13,1 wk ahead inc death,quantile,0.2,178.0
7,13,1 wk ahead inc death,quantile,0.25,190.0
8,13,1 wk ahead inc death,quantile,0.3,197.0
9,13,1 wk ahead inc death,quantile,0.35,200.0
10,13,1 wk ahead inc death,quantile,0.4,206.0
11,13,1 wk ahead inc death,quantile,0.45,210.0
12,13,1 wk ahead inc death,quantile,0.5,210.0
13,13,1 wk ahead inc death,quantile,0.55,219.5
14,13,1 wk ahead inc death,quantile,0.6,230.0
15,13,1 wk ahead inc death,quantile,0.65,230.0
16,13,1 wk ahead inc death,quantile,0.7,233.0
17,13,1 wk ahead inc death,quantile,0.75,240.0
18,13,1 wk ahead inc death,quantile,0.8,250.0
19,13,1 wk ahead inc death,quantile,0.85,269.5
20,13,1 wk ahead inc death,quantile,0.9,281.0
21,13,1 wk ahead inc death,quantile,0.95,290.0
22,13,1 wk ahead inc death,quantile,0.975,303.75
23,13,1 wk ahead inc death,quantile,0.99,325.5
24,13,2 wk ahead inc death,point,,263.0
25,13,2 wk ahead inc death,quantile,0.01,155.8
26,13,2 wk ahead inc death,quantile,0.025,164.5
27,13,2 wk ahead inc death,quantile,0.05,174.5
28,13,2 wk ahead inc death,quantile,0.1,189.0
29,13,2 wk ahead inc death,quantile,0.15,223.5
30,13,2 wk ahead inc death,quantile,0.2,230.0
31,13,2 wk ahead inc death,quantile,0.25,232.5
32,13,2 wk ahead inc death,quantile,0.3,240.0
33,13,2 wk ahead inc death,quantile,0.35,241.5
34,13,2 wk ahead inc death,quantile,0.4,256.0
35,13,2 wk ahead inc death,quantile,0.45,270.0
36,13,2 wk ahead inc death,quantile,0.5,270.0
37,13,2 wk ahead inc death,quantile,0.55,270.0
