,location,target,type,quantile,value
0,US,1 day ahead inc death,point,,1546
1,US,2 day ahead inc death,point,,1546
2,US,3 day ahead inc death,point,,1546
3,US,4 day ahead inc death,point,,1546
4,US,5 day ahead inc death,point,,1546
5,US,6 day ahead inc death,point,,1546
6,US,7 day ahead inc death,point,,1546
7,US,1 day ahead cum death,point,,96540
8,US,2 day ahead cum death,point,,98086
9,US,3 day ahead cum death,point,,99632
10,US,4 day ahead cum death,point,,101178
11,US,5 day ahead cum death,point,,102724
12,US,6 day ahead cum death,point,,104270
13,US,7 day ahead cum death,point,,105816
