,location,target,type,quantile,value
0,US,1 day ahead cum death,point,,116566
1,US,1 day ahead inc death,point,,834
2,US,1 wk ahead cum death,point,,120630
3,US,1 wk ahead inc death,point,,6011
4,US,2 day ahead cum death,point,,117394
5,US,2 day ahead inc death,point,,835
6,US,3 day ahead cum death,point,,118214
7,US,3 day ahead inc death,point,,829
8,US,4 day ahead cum death,point,,119021
9,US,4 day ahead inc death,point,,821
10,US,5 day ahead cum death,point,,119825
11,US,5 day ahead inc death,point,,817
12,US,6 day ahead cum death,point,,120630
13,US,6 day ahead inc death,point,,821
14,US,7 day ahead cum death,point,,121447
15,US,7 day ahead inc death,point,,834
16,US,1 day ahead cum death,quantile,0.01,116479
17,US,1 day ahead cum death,quantile,0.025,116491
18,US,1 day ahead cum death,quantile,0.05,116502
19,US,1 day ahead cum death,quantile,0.1,116515
20,US,1 day ahead cum death,quantile,0.15,116523
21,US,1 day ahead cum death,quantile,0.2,116531
22,US,1 day ahead cum death,quantile,0.25,116537
23,US,1 day ahead cum death,quantile,0.3,116543
24,US,1 day ahead cum death,quantile,0.35,116549
25,US,1 day ahead cum death,quantile,0.4,116554
26,US,1 day ahead cum death,quantile,0.45,116560
27,US,1 day ahead cum death,quantile,0.5,116566
28,US,1 day ahead cum death,quantile,0.55,116571
29,US,1 day ahead cum death,quantile,0.6,116578
30,US,1 day ahead cum death,quantile,0.65,116585
31,US,1 day ahead cum death,quantile,0.7,116593
32,US,1 day ahead cum death,quantile,0.75,116601
33,US,1 day ahead cum death,quantile,0.8,116610
34,US,1 day ahead cum death,quantile,0.85,116621
35,US,1 day ahead cum death,quantile,0.9,116635
36,US,1 day ahead cum death,quantile,0.95,116653
37,US,1 day ahead cum death,quantile,0.975,116667
38,US,1 day ahead cum death,quantile,0.99,116680
39,US,1 day ahead inc death,quantile,0.01,747
40,US,1 day ahead inc death,quantile,0.025,759
41,US,1 day ahead inc death,quantile,0.05,770
42,US,1 day ahead inc death,quantile,0.1,783
43,US,1 day ahead inc death,quantile,0.15,791
44,US,1 day ahead inc death,quantile,0.2,799
45,US,1 day ahead inc death,quantile,0.25,805
46,US,1 day ahead inc death,quantile,0.3,811
47,US,1 day ahead inc death,quantile,0.35,817
48,US,1 day ahead inc death,quantile,0.4,822
49,US,1 day ahead inc death,quantile,0.45,828
50,US,1 day ahead inc death,quantile,0.5,834
51,US,1 day ahead inc death,quantile,0.55,839
52,US,1 day ahead inc death,quantile,0.6,846
53,US,1 day ahead inc death,quantile,0.65,853
54,US,1 day ahead inc death,quantile,0.7,861
55,US,1 day ahead inc death,quantile,0.75,869
56,US,1 day ahead inc death,quantile,0.8,878
57,US,1 day ahead inc death,quantile,0.85,889
58,US,1 day ahead inc death,quantile,0.9,903
59,US,1 day ahead inc death,quantile,0.95,921
60,US,1 day ahead inc death,quantile,0.975,935
61,US,1 day ahead inc death,quantile,0.99,948
62,US,1 wk ahead cum death,quantile,0.01,120398
63,US,1 wk ahead cum death,quantile,0.025,120429
64,US,1 wk ahead cum death,quantile,0.05,120455
65,US,1 wk ahead cum death,quantile,0.1,120488
66,US,1 wk ahead cum death,quantile,0.15,120509
67,US,1 wk ahead cum death,quantile,0.2,120528
68,US,1 wk ahead cum death,quantile,0.25,120544
69,US,1 wk ahead cum death,quantile,0.3,120560
70,US,1 wk ahead cum death,quantile,0.35,120577
71,US,1 wk ahead cum death,quantile,0.4,120593
72,US,1 wk ahead cum death,quantile,0.45,120610
73,US,1 wk ahead cum death,quantile,0.5,120630
74,US,1 wk ahead cum death,quantile,0.55,120653
75,US,1 wk ahead cum death,quantile,0.6,120688
76,US,1 wk ahead cum death,quantile,0.65,120757
77,US,1 wk ahead cum death,quantile,0.7,120934
78,US,1 wk ahead cum death,quantile,0.75,120990
79,US,1 wk ahead cum death,quantile,0.8,121028
80,US,1 wk ahead cum death,quantile,0.85,121064
81,US,1 wk ahead cum death,quantile,0.9,121102
82,US,1 wk ahead cum death,quantile,0.95,121150
83,US,1 wk ahead cum death,quantile,0.975,121193
84,US,1 wk ahead cum death,quantile,0.99,121242
85,US,1 wk ahead inc death,quantile,0.01,5758
86,US,1 wk ahead inc death,quantile,0.025,5794
87,US,1 wk ahead inc death,quantile,0.05,5822
88,US,1 wk ahead inc death,quantile,0.1,5859
89,US,1 wk ahead inc death,quantile,0.15,5882
90,US,1 wk ahead inc death,quantile,0.2,5902
91,US,1 wk ahead inc death,quantile,0.25,5919
92,US,1 wk ahead inc death,quantile,0.3,5936
93,US,1 wk ahead inc death,quantile,0.35,5953
94,US,1 wk ahead inc death,quantile,0.4,5971
95,US,1 wk ahead inc death,quantile,0.45,5991
96,US,1 wk ahead inc death,quantile,0.5,6011
97,US,1 wk ahead inc death,quantile,0.55,6035
98,US,1 wk ahead inc death,quantile,0.6,6069
99,US,1 wk ahead inc death,quantile,0.65,6146
100,US,1 wk ahead inc death,quantile,0.7,6388
101,US,1 wk ahead inc death,quantile,0.75,6449
102,US,1 wk ahead inc death,quantile,0.8,6494
103,US,1 wk ahead inc death,quantile,0.85,6533
104,US,1 wk ahead inc death,quantile,0.9,6577
105,US,1 wk ahead inc death,quantile,0.95,6633
106,US,1 wk ahead inc death,quantile,0.975,6676
107,US,1 wk ahead inc death,quantile,0.99,6736
108,US,2 day ahead cum death,quantile,0.01,117264
109,US,2 day ahead cum death,quantile,0.025,117284
110,US,2 day ahead cum death,quantile,0.05,117300
111,US,2 day ahead cum death,quantile,0.1,117319
112,US,2 day ahead cum death,quantile,0.15,117332
113,US,2 day ahead cum death,quantile,0.2,117342
114,US,2 day ahead cum death,quantile,0.25,117352
115,US,2 day ahead cum death,quantile,0.3,117360
116,US,2 day ahead cum death,quantile,0.35,117369
117,US,2 day ahead cum death,quantile,0.4,117377
118,US,2 day ahead cum death,quantile,0.45,117385
119,US,2 day ahead cum death,quantile,0.5,117394
120,US,2 day ahead cum death,quantile,0.55,117405
121,US,2 day ahead cum death,quantile,0.6,117417
122,US,2 day ahead cum death,quantile,0.65,117432
123,US,2 day ahead cum death,quantile,0.7,117449
124,US,2 day ahead cum death,quantile,0.75,117467
125,US,2 day ahead cum death,quantile,0.8,117485
126,US,2 day ahead cum death,quantile,0.85,117504
127,US,2 day ahead cum death,quantile,0.9,117524
128,US,2 day ahead cum death,quantile,0.95,117548
129,US,2 day ahead cum death,quantile,0.975,117568
130,US,2 day ahead cum death,quantile,0.99,117590
131,US,2 day ahead inc death,quantile,0.01,745
132,US,2 day ahead inc death,quantile,0.025,759
133,US,2 day ahead inc death,quantile,0.05,771
134,US,2 day ahead inc death,quantile,0.1,784
135,US,2 day ahead inc death,quantile,0.15,793
136,US,2 day ahead inc death,quantile,0.2,800
137,US,2 day ahead inc death,quantile,0.25,807
138,US,2 day ahead inc death,quantile,0.3,813
139,US,2 day ahead inc death,quantile,0.35,819
140,US,2 day ahead inc death,quantile,0.4,824
141,US,2 day ahead inc death,quantile,0.45,830
142,US,2 day ahead inc death,quantile,0.5,835
143,US,2 day ahead inc death,quantile,0.55,841
144,US,2 day ahead inc death,quantile,0.6,847
145,US,2 day ahead inc death,quantile,0.65,853
146,US,2 day ahead inc death,quantile,0.7,860
147,US,2 day ahead inc death,quantile,0.75,869
148,US,2 day ahead inc death,quantile,0.8,877
