,location,target,type,quantile,value
0,US,1 day ahead cum death,point,,61519
1,US,1 day ahead cum death,quantile,0.025,61311
2,US,1 day ahead cum death,quantile,0.975,61672
3,US,2 day ahead cum death,point,,63601
4,US,2 day ahead cum death,quantile,0.025,63268
5,US,2 day ahead cum death,quantile,0.975,63827
6,US,3 day ahead cum death,point,,65543
7,US,3 day ahead cum death,quantile,0.025,65179
8,US,3 day ahead cum death,quantile,0.975,65838
9,US,4 day ahead cum death,point,,67368
10,US,4 day ahead cum death,quantile,0.025,66869
11,US,4 day ahead cum death,quantile,0.975,67788
12,US,5 day ahead cum death,point,,69065
13,US,5 day ahead cum death,quantile,0.025,68546
14,US,5 day ahead cum death,quantile,0.975,69534
15,US,6 day ahead cum death,point,,70660
16,US,6 day ahead cum death,quantile,0.025,70099
17,US,6 day ahead cum death,quantile,0.975,71200
18,US,7 day ahead cum death,point,,72157
19,US,7 day ahead cum death,quantile,0.025,71487
20,US,7 day ahead cum death,quantile,0.975,72782
21,US,8 day ahead cum death,point,,73569
22,US,8 day ahead cum death,quantile,0.025,72834
23,US,8 day ahead cum death,quantile,0.975,74275
24,US,9 day ahead cum death,point,,74889
25,US,9 day ahead cum death,quantile,0.025,74142
26,US,9 day ahead cum death,quantile,0.975,75659
27,US,10 day ahead cum death,point,,76132
28,US,10 day ahead cum death,quantile,0.025,75375
29,US,10 day ahead cum death,quantile,0.975,77023
30,US,11 day ahead cum death,point,,77304
31,US,11 day ahead cum death,quantile,0.025,76503
32,US,11 day ahead cum death,quantile,0.975,78408
33,US,12 day ahead cum death,point,,78407
34,US,12 day ahead cum death,quantile,0.025,77572
35,US,12 day ahead cum death,quantile,0.975,79601
36,US,13 day ahead cum death,point,,79452
37,US,13 day ahead cum death,quantile,0.025,78556
38,US,13 day ahead cum death,quantile,0.975,80812
39,US,14 day ahead cum death,point,,80442
40,US,14 day ahead cum death,quantile,0.025,79425
41,US,14 day ahead cum death,quantile,0.975,81926
42,US,15 day ahead cum death,point,,81377
43,US,15 day ahead cum death,quantile,0.025,80287
44,US,15 day ahead cum death,quantile,0.975,82953
45,US,16 day ahead cum death,point,,82263
46,US,16 day ahead cum death,quantile,0.025,81133
47,US,16 day ahead cum death,quantile,0.975,83926
48,US,17 day ahead cum death,point,,83109
49,US,17 day ahead cum death,quantile,0.025,81976
50,US,17 day ahead cum death,quantile,0.975,84859
51,US,18 day ahead cum death,point,,83911
52,US,18 day ahead cum death,quantile,0.025,82745
53,US,18 day ahead cum death,quantile,0.975,85734
54,US,19 day ahead cum death,point,,84674
55,US,19 day ahead cum death,quantile,0.025,83502
56,US,19 day ahead cum death,quantile,0.975,86526
57,US,20 day ahead cum death,point,,85404
58,US,20 day ahead cum death,quantile,0.025,84213
59,US,20 day ahead cum death,quantile,0.975,87349
60,US,21 day ahead cum death,point,,86105
61,US,21 day ahead cum death,quantile,0.025,84907
62,US,21 day ahead cum death,quantile,0.975,88159
63,US,22 day ahead cum death,point,,86775
64,US,22 day ahead cum death,quantile,0.025,85537
65,US,22 day ahead cum death,quantile,0.975,88876
66,US,23 day ahead cum death,point,,87417
67,US,23 day ahead cum death,quantile,0.025,86160
68,US,23 day ahead cum death,quantile,0.975,89585
69,US,24 day ahead cum death,point,,88033
70,US,24 day ahead cum death,quantile,0.025,86740
71,US,24 day ahead cum death,quantile,0.975,90247
72,US,25 day ahead cum death,point,,88625
73,US,25 day ahead cum death,quantile,0.025,87304
74,US,25 day ahead cum death,quantile,0.975,90853
75,US,26 day ahead cum death,point,,89195
76,US,26 day ahead cum death,quantile,0.025,87850
77,US,26 day ahead cum death,quantile,0.975,91447
78,US,27 day ahead cum death,point,,89751
79,US,27 day ahead cum death,quantile,0.025,88367
80,US,27 day ahead cum death,quantile,0.975,92072
81,US,28 day ahead cum death,point,,90279
82,US,28 day ahead cum death,quantile,0.025,88848
83,US,28 day ahead cum death,quantile,0.975,92641
84,US,29 day ahead cum death,point,,90794
85,US,29 day ahead cum death,quantile,0.025,89313
86,US,29 day ahead cum death,quantile,0.975,93167
87,US,30 day ahead cum death,point,,91294
88,US,30 day ahead cum death,quantile,0.025,89765
89,US,30 day ahead cum death,quantile,0.975,93656
90,US,31 day ahead cum death,point,,91769
91,US,31 day ahead cum death,quantile,0.025,90157
92,US,31 day ahead cum death,quantile,0.975,94162
93,US,32 day ahead cum death,point,,92240
94,US,32 day ahead cum death,quantile,0.025,90578
95,US,32 day ahead cum death,quantile,0.975,94599
96,US,33 day ahead cum death,point,,92695
97,US,33 day ahead cum death,quantile,0.025,90970
98,US,33 day ahead cum death,quantile,0.975,95016
99,US,34 day ahead cum death,point,,93135
100,US,34 day ahead cum death,quantile,0.025,91391
101,US,34 day ahead cum death,quantile,0.975,95462
102,US,35 day ahead cum death,point,,93565
103,US,35 day ahead cum death,quantile,0.025,91772
104,US,35 day ahead cum death,quantile,0.975,95953
105,US,36 day ahead cum death,point,,93984
106,US,36 day ahead cum death,quantile,0.025,92114
107,US,36 day ahead cum death,quantile,0.975,96427
108,US,37 day ahead cum death,point,,94393
109,US,37 day ahead cum death,quantile,0.025,92473
110,US,37 day ahead cum death,quantile,0.975,96925
111,US,38 day ahead cum death,point,,94789
112,US,38 day ahead cum death,quantile,0.025,92806
113,US,38 day ahead cum death,quantile,0.975,97378
114,US,39 day ahead cum death,point,,95179
115,US,39 day ahead cum death,quantile,0.025,93134
116,US,39 day ahead cum death,quantile,0.975,97813
117,US,40 day ahead cum death,point,,95560
118,US,40 day ahead cum death,quantile,0.025,93483
119,US,40 day ahead cum death,quantile,0.975,98247
120,US,41 day ahead cum death,point,,95929
121,US,41 day ahead cum death,quantile,0.025,93797
122,US,41 day ahead cum death,quantile,0.975,98678
123,US,42 day ahead cum death,point,,96295
124,US,42 day ahead cum death,quantile,0.025,94126
125,US,42 day ahead cum death,quantile,0.975,99089
126,US,43 day ahead cum death,point,,96652
127,US,43 day ahead cum death,quantile,0.025,94444
128,US,43 day ahead cum death,quantile,0.975,99533
129,US,44 day ahead cum death,point,,97000
130,US,44 day ahead cum death,quantile,0.025,94743
131,US,44 day ahead cum death,quantile,0.975,99948
132,US,45 day ahead cum death,point,,97344
133,US,45 day ahead cum death,quantile,0.025,95026
134,US,45 day ahead cum death,quantile,0.975,100309
135,US,46 day ahead cum death,point,,97682
136,US,46 day ahead cum death,quantile,0.025,95281
137,US,46 day ahead cum death,quantile,0.975,100762
138,US,47 day ahead cum death,point,,98012
139,US,47 day ahead cum death,quantile,0.025,95555
140,US,47 day ahead cum death,quantile,0.975,101185
141,US,48 day ahead cum death,point,,98337
142,US,48 day ahead cum death,quantile,0.025,95814
143,US,48 day ahead cum death,quantile,0.975,101618
144,US,49 day ahead cum death,point,,98655
145,US,49 day ahead cum death,quantile,0.025,96044
146,US,49 day ahead cum death,quantile,0.975,102016
147,US,50 day ahead cum death,point,,98967
148,US,50 day ahead cum death,quantile,0.025,96314
149,US,50 day ahead cum death,quantile,0.975,102420
150,US,51 day ahead cum death,point,,99275
151,US,51 day ahead cum death,quantile,0.025,96512
152,US,51 day ahead cum death,quantile,0.975,102854
153,US,52 day ahead cum death,point,,99578
154,US,52 day ahead cum death,quantile,0.025,96721
155,US,52 day ahead cum death,quantile,0.975,103270
156,US,53 day ahead cum death,point,,99873
157,US,53 day ahead cum death,quantile,0.025,96915
158,US,53 day ahead cum death,quantile,0.975,103643
159,US,54 day ahead cum death,point,,100169
160,US,54 day ahead cum death,quantile,0.025,97144
161,US,54 day ahead cum death,quantile,0.975,104077
162,US,55 day ahead cum death,point,,100458
