,location,target,type,quantile,value
0,US,1 day ahead inc death,quantile,0.01,416.52
1,US,1 day ahead inc death,quantile,0.025,473.6
2,US,1 day ahead inc death,quantile,0.05,521.6
3,US,1 day ahead inc death,quantile,0.1,594.2
4,US,1 day ahead inc death,quantile,0.15,693.8000000000002
5,US,1 day ahead inc death,quantile,0.2,993.4
6,US,1 day ahead inc death,quantile,0.25,1143.0
7,US,1 day ahead inc death,quantile,0.3,1287.0
8,US,1 day ahead inc death,quantile,0.35,1545.4000000000005
9,US,1 day ahead inc death,quantile,0.4,1814.0
10,US,1 day ahead inc death,quantile,0.45,2014.0
11,US,1 day ahead inc death,quantile,0.5,2163.0
12,US,1 day ahead inc death,quantile,0.55,2289.600000000001
13,US,1 day ahead inc death,quantile,0.6,2457.0
14,US,1 day ahead inc death,quantile,0.65,2728.600000000001
15,US,1 day ahead inc death,quantile,0.7,3432.4000000000005
16,US,1 day ahead inc death,quantile,0.75,4048.0000000000023
17,US,1 day ahead inc death,quantile,0.8,4655.800000000001
18,US,1 day ahead inc death,quantile,0.85,5805.000000000004
19,US,1 day ahead inc death,quantile,0.9,7157.400000000002
20,US,1 day ahead inc death,quantile,0.95,8598.0
21,US,1 day ahead inc death,quantile,0.975,9390.999999999998
22,US,1 day ahead inc death,quantile,0.99,10152.279999999997
23,US,2 day ahead inc death,quantile,0.01,428.0
24,US,2 day ahead inc death,quantile,0.025,485.8
25,US,2 day ahead inc death,quantile,0.05,532.6
26,US,2 day ahead inc death,quantile,0.1,609.2
27,US,2 day ahead inc death,quantile,0.15,706.0
28,US,2 day ahead inc death,quantile,0.2,1013.0
29,US,2 day ahead inc death,quantile,0.25,1177.0
30,US,2 day ahead inc death,quantile,0.3,1325.0
31,US,2 day ahead inc death,quantile,0.35,1616.2000000000005
32,US,2 day ahead inc death,quantile,0.4,1925.8
33,US,2 day ahead inc death,quantile,0.45,2108.4
34,US,2 day ahead inc death,quantile,0.5,2265.0
35,US,2 day ahead inc death,quantile,0.55,2402.600000000001
36,US,2 day ahead inc death,quantile,0.6,2563.2000000000007
37,US,2 day ahead inc death,quantile,0.65,2855.0
38,US,2 day ahead inc death,quantile,0.7,3707.400000000001
39,US,2 day ahead inc death,quantile,0.75,4390.000000000002
40,US,2 day ahead inc death,quantile,0.8,5019.800000000003
41,US,2 day ahead inc death,quantile,0.85,6292.600000000006
42,US,2 day ahead inc death,quantile,0.9,7757.000000000005
43,US,2 day ahead inc death,quantile,0.95,9245.0
44,US,2 day ahead inc death,quantile,0.975,10118.6
45,US,2 day ahead inc death,quantile,0.99,10927.839999999997
46,US,3 day ahead inc death,quantile,0.01,453.0
47,US,3 day ahead inc death,quantile,0.025,510.8
48,US,3 day ahead inc death,quantile,0.05,568.0
49,US,3 day ahead inc death,quantile,0.1,639.0
50,US,3 day ahead inc death,quantile,0.15,751.8000000000002
51,US,3 day ahead inc death,quantile,0.2,1063.2000000000003
52,US,3 day ahead inc death,quantile,0.25,1232.0
53,US,3 day ahead inc death,quantile,0.3,1401.0
54,US,3 day ahead inc death,quantile,0.35,1738.4000000000005
55,US,3 day ahead inc death,quantile,0.4,2066.8
56,US,3 day ahead inc death,quantile,0.45,2270.4
57,US,3 day ahead inc death,quantile,0.5,2419.0
58,US,3 day ahead inc death,quantile,0.55,2582.600000000001
59,US,3 day ahead inc death,quantile,0.6,2753.4000000000005
60,US,3 day ahead inc death,quantile,0.65,3042.6000000000013
61,US,3 day ahead inc death,quantile,0.7,4028.200000000005
62,US,3 day ahead inc death,quantile,0.75,4790.0
63,US,3 day ahead inc death,quantile,0.8,5467.6
64,US,3 day ahead inc death,quantile,0.85,6869.8000000000075
65,US,3 day ahead inc death,quantile,0.9,8460.600000000002
66,US,3 day ahead inc death,quantile,0.95,10073.799999999996
67,US,3 day ahead inc death,quantile,0.975,11033.0
68,US,3 day ahead inc death,quantile,0.99,11890.799999999996
69,US,4 day ahead inc death,quantile,0.01,486.0
70,US,4 day ahead inc death,quantile,0.025,541.8
71,US,4 day ahead inc death,quantile,0.05,600.0
72,US,4 day ahead inc death,quantile,0.1,678.0
73,US,4 day ahead inc death,quantile,0.15,788.8000000000002
74,US,4 day ahead inc death,quantile,0.2,1134.8000000000004
75,US,4 day ahead inc death,quantile,0.25,1304.0
76,US,4 day ahead inc death,quantile,0.3,1480.6
77,US,4 day ahead inc death,quantile,0.35,1885.0
78,US,4 day ahead inc death,quantile,0.4,2236.0
79,US,4 day ahead inc death,quantile,0.45,2443.0
80,US,4 day ahead inc death,quantile,0.5,2605.0
81,US,4 day ahead inc death,quantile,0.55,2767.600000000001
82,US,4 day ahead inc death,quantile,0.6,2957.2000000000007
83,US,4 day ahead inc death,quantile,0.65,3274.400000000002
84,US,4 day ahead inc death,quantile,0.7,4427.000000000003
85,US,4 day ahead inc death,quantile,0.75,5230.000000000006
86,US,4 day ahead inc death,quantile,0.8,5965.400000000002
87,US,4 day ahead inc death,quantile,0.85,7489.600000000002
88,US,4 day ahead inc death,quantile,0.9,9267.600000000008
89,US,4 day ahead inc death,quantile,0.95,11023.6
90,US,4 day ahead inc death,quantile,0.975,12011.799999999996
91,US,4 day ahead inc death,quantile,0.99,13007.919999999998
92,US,5 day ahead inc death,quantile,0.01,518.52
93,US,5 day ahead inc death,quantile,0.025,580.0
94,US,5 day ahead inc death,quantile,0.05,639.0
95,US,5 day ahead inc death,quantile,0.1,724.2
96,US,5 day ahead inc death,quantile,0.15,847.8000000000002
97,US,5 day ahead inc death,quantile,0.2,1209.0
98,US,5 day ahead inc death,quantile,0.25,1400.0
99,US,5 day ahead inc death,quantile,0.3,1578.6
100,US,5 day ahead inc death,quantile,0.35,2037.0000000000011
101,US,5 day ahead inc death,quantile,0.4,2402.0
102,US,5 day ahead inc death,quantile,0.45,2630.8
103,US,5 day ahead inc death,quantile,0.5,2814.0
104,US,5 day ahead inc death,quantile,0.55,2995.600000000001
105,US,5 day ahead inc death,quantile,0.6,3204.2000000000007
106,US,5 day ahead inc death,quantile,0.65,3531.800000000001
107,US,5 day ahead inc death,quantile,0.7,4820.600000000002
108,US,5 day ahead inc death,quantile,0.75,5724.000000000006
109,US,5 day ahead inc death,quantile,0.8,6505.600000000004
110,US,5 day ahead inc death,quantile,0.85,8167.600000000002
111,US,5 day ahead inc death,quantile,0.9,10164.600000000002
112,US,5 day ahead inc death,quantile,0.95,12057.999999999998
113,US,5 day ahead inc death,quantile,0.975,13106.4
114,US,5 day ahead inc death,quantile,0.99,14107.759999999995
115,US,6 day ahead inc death,quantile,0.01,557.0
116,US,6 day ahead inc death,quantile,0.025,624.8
117,US,6 day ahead inc death,quantile,0.05,690.0
118,US,6 day ahead inc death,quantile,0.1,779.0
119,US,6 day ahead inc death,quantile,0.15,903.6
120,US,6 day ahead inc death,quantile,0.2,1293.8000000000004
121,US,6 day ahead inc death,quantile,0.25,1508.0
122,US,6 day ahead inc death,quantile,0.3,1705.6
123,US,6 day ahead inc death,quantile,0.35,2195.600000000001
124,US,6 day ahead inc death,quantile,0.4,2619.8
125,US,6 day ahead inc death,quantile,0.45,2860.8
126,US,6 day ahead inc death,quantile,0.5,3049.0
127,US,6 day ahead inc death,quantile,0.55,3245.0
128,US,6 day ahead inc death,quantile,0.6,3476.2000000000007
129,US,6 day ahead inc death,quantile,0.65,3850.800000000001
130,US,6 day ahead inc death,quantile,0.7,5283.800000000001
131,US,6 day ahead inc death,quantile,0.75,6244.000000000003
132,US,6 day ahead inc death,quantile,0.8,7095.200000000002
133,US,6 day ahead inc death,quantile,0.85,8935.200000000008
134,US,6 day ahead inc death,quantile,0.9,11114.000000000005
135,US,6 day ahead inc death,quantile,0.95,13193.199999999995
136,US,6 day ahead inc death,quantile,0.975,14295.0
137,US,6 day ahead inc death,quantile,0.99,15401.599999999993
138,US,7 day ahead inc death,quantile,0.01,605.0
139,US,7 day ahead inc death,quantile,0.025,677.8
