,location,target,type,quantile,value
0,1,1 wk ahead cum death,point,,81.13364572297209
1,2,1 wk ahead cum death,point,,7.74526423651839
2,4,1 wk ahead cum death,point,,116.78023897825001
3,5,1 wk ahead cum death,point,,20.0317525315226
4,6,1 wk ahead cum death,point,,672.08550169409
5,8,1 wk ahead cum death,point,,274.03076867791196
6,9,1 wk ahead cum death,point,,322.900958622515
7,10,1 wk ahead cum death,point,,24.4571916886154
8,11,1 wk ahead cum death,point,,43.4199166196154
9,12,1 wk ahead cum death,point,,419.082045794427
10,13,1 wk ahead cum death,point,,341.624783952717
11,15,1 wk ahead cum death,point,,5.78957097885054
12,16,1 wk ahead cum death,point,,16.2106019671753
13,17,1 wk ahead cum death,point,,576.529506182531
14,18,1 wk ahead cum death,point,,251.89958299501302
15,19,1 wk ahead cum death,point,,32.4134735989866
16,20,1 wk ahead cum death,point,,31.7338361526045
17,21,1 wk ahead cum death,point,,74.7420310421828
18,22,1 wk ahead cum death,point,,676.888896152985
19,23,1 wk ahead cum death,point,,12.926824025076499
20,24,1 wk ahead cum death,point,,146.788803874391
21,25,1 wk ahead cum death,point,,468.530925869164
22,26,1 wk ahead cum death,point,,1031.33800043036
23,27,1 wk ahead cum death,point,,42.4619648566411
24,28,1 wk ahead cum death,point,,60.0582492316664
25,29,1 wk ahead cum death,point,,56.7008272011224
26,30,1 wk ahead cum death,point,,7.96209231753085
27,31,1 wk ahead cum death,point,,14.313032869732302
28,32,1 wk ahead cum death,point,,76.3672267268499
29,33,1 wk ahead cum death,point,,15.440070579242699
30,34,1 wk ahead cum death,point,,1990.89767043918
31,35,1 wk ahead cum death,point,,23.2453515281777
32,36,1 wk ahead cum death,point,,8579.19342940744
33,37,1 wk ahead cum death,point,,63.440230111317796
34,38,1 wk ahead cum death,point,,4.3615426178599
35,39,1 wk ahead cum death,point,,209.228738233748
36,40,1 wk ahead cum death,point,,83.7446289426286
37,41,1 wk ahead cum death,point,,42.4622514770195
38,42,1 wk ahead cum death,point,,335.990492431081
39,72,1 wk ahead cum death,point,,44.6480339739132
40,44,1 wk ahead cum death,point,,40.860755761321
41,45,1 wk ahead cum death,point,,79.0423637387358
42,46,1 wk ahead cum death,point,,5.46411318717187
