,location,target,type,quantile,value
0,US,1 day ahead cum death,quantile,0.05,125965.325
1,US,1 day ahead cum death,point,,126280.39
2,US,1 day ahead cum death,quantile,0.95,126595.455
3,US,2 day ahead cum death,quantile,0.05,126647.5
4,US,2 day ahead cum death,point,,127099.0
5,US,2 day ahead cum death,quantile,0.95,127550.5
6,US,3 day ahead cum death,quantile,0.05,127323.75
7,US,3 day ahead cum death,point,,127910.5
8,US,3 day ahead cum death,quantile,0.95,128497.25
9,US,4 day ahead cum death,quantile,0.05,128149.2
10,US,4 day ahead cum death,point,,128901.04
11,US,4 day ahead cum death,quantile,0.95,129652.88
12,US,5 day ahead cum death,quantile,0.05,129116.85
13,US,5 day ahead cum death,point,,130062.22
14,US,5 day ahead cum death,quantile,0.95,131007.59
15,US,6 day ahead cum death,quantile,0.05,130093.375
16,US,6 day ahead cum death,point,,131234.05
17,US,6 day ahead cum death,quantile,0.95,132374.725
18,US,7 day ahead cum death,quantile,0.05,131202.69999999998
19,US,7 day ahead cum death,point,,132565.24
20,US,7 day ahead cum death,quantile,0.95,133927.78
21,US,8 day ahead cum death,quantile,0.05,132172.0475
22,US,8 day ahead cum death,point,,133748.293
23,US,8 day ahead cum death,quantile,0.95,135331.1505
24,US,9 day ahead cum death,quantile,0.05,133154.0
25,US,9 day ahead cum death,point,,134966.947
26,US,9 day ahead cum death,quantile,0.95,136802.91799999998
27,US,10 day ahead cum death,quantile,0.05,134149.98725
28,US,10 day ahead cum death,point,,136223.56300000002
29,US,10 day ahead cum death,quantile,0.95,138350.00514999998
30,US,11 day ahead cum death,quantile,0.05,135161.704
31,US,11 day ahead cum death,point,,137520.93099999998
32,US,11 day ahead cum death,quantile,0.95,139980.47665
33,US,12 day ahead cum death,quantile,0.05,136189.5665
34,US,12 day ahead cum death,point,,138860.25100000002
35,US,12 day ahead cum death,quantile,0.95,141701.00665
36,US,13 day ahead cum death,quantile,0.05,137236.4415
37,US,13 day ahead cum death,point,,140246.05599999998
38,US,13 day ahead cum death,quantile,0.95,143523.47765
39,US,14 day ahead cum death,quantile,0.05,138301.64899999998
40,US,14 day ahead cum death,point,,141678.14200000002
41,US,14 day ahead cum death,quantile,0.95,145454.17914999998
42,US,15 day ahead cum death,quantile,0.05,139387.034
43,US,15 day ahead cum death,point,,143159.82400000002
44,US,15 day ahead cum death,quantile,0.95,147505.12314999994
45,US,16 day ahead cum death,quantile,0.05,140495.104
46,US,16 day ahead cum death,point,,144695.53600000002
47,US,16 day ahead cum death,quantile,0.95,149691.23714999994
48,US,17 day ahead cum death,quantile,0.05,141630.3015
49,US,17 day ahead cum death,point,,146292.83500000002
50,US,17 day ahead cum death,quantile,0.95,152033.90264999995
51,US,18 day ahead cum death,quantile,0.05,142797.464
52,US,18 day ahead cum death,point,,147960.298
53,US,18 day ahead cum death,quantile,0.95,154558.56114999994
54,US,19 day ahead cum death,quantile,0.05,144000.864
55,US,19 day ahead cum death,point,,149706.02800000002
56,US,19 day ahead cum death,quantile,0.95,157292.72614999994
57,US,20 day ahead cum death,quantile,0.05,145245.6165
58,US,20 day ahead cum death,point,,151539.63100000002
59,US,20 day ahead cum death,quantile,0.95,160269.68965
60,US,21 day ahead cum death,quantile,0.05,146533.9915
61,US,21 day ahead cum death,point,,153467.37099999998
