,location,target,type,quantile,value
0,25,1 day ahead inc death,point,,107
1,25,1 day ahead inc death,quantile,0.01,68
2,25,1 day ahead inc death,quantile,0.025,70
3,25,1 day ahead inc death,quantile,0.05,74
4,25,1 day ahead inc death,quantile,0.1,79
5,25,1 day ahead inc death,quantile,0.15,83
6,25,1 day ahead inc death,quantile,0.2,87
7,25,1 day ahead inc death,quantile,0.25,93
8,25,1 day ahead inc death,quantile,0.3,98
9,25,1 day ahead inc death,quantile,0.35,101
10,25,1 day ahead inc death,quantile,0.4,103
11,25,1 day ahead inc death,quantile,0.45,105
12,25,1 day ahead inc death,quantile,0.5,107
13,25,1 day ahead inc death,quantile,0.55,109
14,25,1 day ahead inc death,quantile,0.6,111
15,25,1 day ahead inc death,quantile,0.65,113
16,25,1 day ahead inc death,quantile,0.7,115
17,25,1 day ahead inc death,quantile,0.75,117
18,25,1 day ahead inc death,quantile,0.8,119
19,25,1 day ahead inc death,quantile,0.85,121
20,25,1 day ahead inc death,quantile,0.9,125
21,25,1 day ahead inc death,quantile,0.95,130
22,25,1 day ahead inc death,quantile,0.975,135
23,25,1 day ahead inc death,quantile,0.99,140
24,25,1 wk ahead inc death,point,,653
25,25,1 wk ahead inc death,quantile,0.01,477
26,25,1 wk ahead inc death,quantile,0.025,500
27,25,1 wk ahead inc death,quantile,0.05,539
28,25,1 wk ahead inc death,quantile,0.1,574
29,25,1 wk ahead inc death,quantile,0.15,587
30,25,1 wk ahead inc death,quantile,0.2,600
31,25,1 wk ahead inc death,quantile,0.25,613
32,25,1 wk ahead inc death,quantile,0.3,622
33,25,1 wk ahead inc death,quantile,0.35,630
34,25,1 wk ahead inc death,quantile,0.4,638
35,25,1 wk ahead inc death,quantile,0.45,646
36,25,1 wk ahead inc death,quantile,0.5,653
37,25,1 wk ahead inc death,quantile,0.55,661
38,25,1 wk ahead inc death,quantile,0.6,669
39,25,1 wk ahead inc death,quantile,0.65,689
40,25,1 wk ahead inc death,quantile,0.7,708
41,25,1 wk ahead inc death,quantile,0.75,726
42,25,1 wk ahead inc death,quantile,0.8,742
43,25,1 wk ahead inc death,quantile,0.85,757
44,25,1 wk ahead inc death,quantile,0.9,773
45,25,1 wk ahead inc death,quantile,0.95,812
46,25,1 wk ahead inc death,quantile,0.975,838
47,25,1 wk ahead inc death,quantile,0.99,861
48,25,2 wk ahead inc death,point,,544
49,25,2 wk ahead inc death,quantile,0.01,378
50,25,2 wk ahead inc death,quantile,0.025,400
51,25,2 wk ahead inc death,quantile,0.05,424
52,25,2 wk ahead inc death,quantile,0.1,460
53,25,2 wk ahead inc death,quantile,0.15,484
54,25,2 wk ahead inc death,quantile,0.2,508
55,25,2 wk ahead inc death,quantile,0.25,514
56,25,2 wk ahead inc death,quantile,0.3,520
