,location,target,type,quantile,value
0,US,0 day ahead inc death,point,,992
1,US,1 day ahead inc death,point,,991
2,US,2 day ahead inc death,point,,991
3,US,3 day ahead inc death,point,,989
4,US,4 day ahead inc death,point,,987
5,US,5 day ahead inc death,point,,983
6,US,6 day ahead inc death,point,,979
7,US,7 day ahead inc death,point,,975
8,US,8 day ahead inc death,point,,969
9,US,9 day ahead inc death,point,,963
10,US,10 day ahead inc death,point,,967
11,US,11 day ahead inc death,point,,967
12,US,12 day ahead inc death,point,,967
13,US,13 day ahead inc death,point,,967
14,US,14 day ahead inc death,point,,965
15,US,15 day ahead inc death,point,,963
16,US,16 day ahead inc death,point,,960
17,US,17 day ahead inc death,point,,956
18,US,18 day ahead inc death,point,,951
19,US,19 day ahead inc death,point,,946
20,US,20 day ahead inc death,point,,940
21,US,21 day ahead inc death,point,,934
22,US,22 day ahead inc death,point,,927
23,US,23 day ahead inc death,point,,919
24,US,24 day ahead inc death,point,,910
25,US,25 day ahead inc death,point,,901
26,US,26 day ahead inc death,point,,892
27,US,27 day ahead inc death,point,,882
28,US,28 day ahead inc death,point,,871
29,US,29 day ahead inc death,point,,860
30,US,30 day ahead inc death,point,,848
31,US,31 day ahead inc death,point,,836
32,US,32 day ahead inc death,point,,824
33,US,33 day ahead inc death,point,,811
34,US,34 day ahead inc death,point,,798
35,US,35 day ahead inc death,point,,785
36,US,36 day ahead inc death,point,,771
37,US,37 day ahead inc death,point,,757
38,US,38 day ahead inc death,point,,743
39,US,39 day ahead inc death,point,,729
40,US,40 day ahead inc death,point,,715
41,US,41 day ahead inc death,point,,700
42,US,42 day ahead inc death,point,,685
43,US,43 day ahead inc death,point,,671
44,US,44 day ahead inc death,point,,656
45,US,45 day ahead inc death,point,,641
46,US,46 day ahead inc death,point,,627
47,US,47 day ahead inc death,point,,612
48,US,48 day ahead inc death,point,,604
49,US,49 day ahead inc death,point,,594
50,US,50 day ahead inc death,point,,584
51,US,51 day ahead inc death,point,,574
52,US,52 day ahead inc death,point,,564
53,US,53 day ahead inc death,point,,553
54,US,54 day ahead inc death,point,,543
55,US,55 day ahead inc death,point,,533
56,US,56 day ahead inc death,point,,523
57,US,57 day ahead inc death,point,,512
58,US,58 day ahead inc death,point,,502
59,US,59 day ahead inc death,point,,492
60,US,60 day ahead inc death,point,,481
61,US,61 day ahead inc death,point,,471
62,US,62 day ahead inc death,point,,466
63,US,63 day ahead inc death,point,,459
64,US,64 day ahead inc death,point,,452
65,US,65 day ahead inc death,point,,446
66,US,66 day ahead inc death,point,,439
67,US,67 day ahead inc death,point,,432
68,US,68 day ahead inc death,point,,425
69,US,69 day ahead inc death,point,,419
70,US,70 day ahead inc death,point,,412
71,US,71 day ahead inc death,point,,405
72,US,72 day ahead inc death,point,,398
73,US,73 day ahead inc death,point,,391
74,US,74 day ahead inc death,point,,384
75,US,75 day ahead inc death,point,,377
76,US,76 day ahead inc death,point,,374
77,US,77 day ahead inc death,point,,370
78,US,78 day ahead inc death,point,,366
79,US,79 day ahead inc death,point,,362
80,US,80 day ahead inc death,point,,358
81,US,81 day ahead inc death,point,,353
82,US,82 day ahead inc death,point,,349
83,US,83 day ahead inc death,point,,345
84,US,84 day ahead inc death,point,,340
85,US,85 day ahead inc death,point,,336
86,US,86 day ahead inc death,point,,332
87,US,87 day ahead inc death,point,,327
88,US,88 day ahead inc death,point,,323
89,US,89 day ahead inc death,point,,318
90,US,90 day ahead inc death,point,,317
91,US,91 day ahead inc death,point,,315
92,US,92 day ahead inc death,point,,313
93,US,93 day ahead inc death,point,,327
94,US,94 day ahead inc death,point,,337
95,US,95 day ahead inc death,point,,348
96,US,96 day ahead inc death,point,,359
97,US,97 day ahead inc death,point,,371
98,US,98 day ahead inc death,point,,383
99,US,99 day ahead inc death,point,,395
100,US,100 day ahead inc death,point,,407
101,US,101 day ahead inc death,point,,420
102,US,102 day ahead inc death,point,,432
103,US,103 day ahead inc death,point,,445
104,US,104 day ahead inc death,point,,463
105,US,105 day ahead inc death,point,,480
106,US,106 day ahead inc death,point,,498
107,US,107 day ahead inc death,point,,516
108,US,108 day ahead inc death,point,,534
109,US,109 day ahead inc death,point,,553
