,location,target,type,quantile,forecast_date,target_end_date,value
0,US,1 wk ahead inc death,point,,2020-07-02,2020-07-11,2254
1,US,2 wk ahead inc death,point,,2020-07-02,2020-07-18,1838
2,US,3 wk ahead inc death,point,,2020-07-02,2020-07-25,1495
3,US,4 wk ahead inc death,point,,2020-07-02,2020-08-01,1263
4,US,5 wk ahead inc death,point,,2020-07-02,2020-08-08,1071
5,US,6 wk ahead inc death,point,,2020-07-02,2020-08-15,944
6,US,7 wk ahead inc death,point,,2020-07-02,2020-08-22,841
7,US,8 wk ahead inc death,point,,2020-07-02,2020-08-29,780
8,US,9 wk ahead inc death,point,,2020-07-02,2020-09-05,731
9,US,10 wk ahead inc death,point,,2020-07-02,2020-09-12,816
10,US,11 wk ahead inc death,point,,2020-07-02,2020-09-19,1069
11,US,12 wk ahead inc death,point,,2020-07-02,2020-09-26,1390
12,US,13 wk ahead inc death,point,,2020-07-02,2020-10-03,1792
13,US,14 wk ahead inc death,point,,2020-07-02,2020-10-10,2268
14,US,15 wk ahead inc death,point,,2020-07-02,2020-10-17,2715
15,US,16 wk ahead inc death,point,,2020-07-02,2020-10-24,3169
16,US,17 wk ahead inc death,point,,2020-07-02,2020-10-31,3479
17,US,18 wk ahead inc death,point,,2020-07-02,2020-11-07,3691
18,US,19 wk ahead inc death,point,,2020-07-02,2020-11-14,3673
19,US,20 wk ahead inc death,point,,2020-07-02,2020-11-21,3527
20,48,1 wk ahead inc death,point,,2020-07-02,2020-07-11,320
21,48,2 wk ahead inc death,point,,2020-07-02,2020-07-18,409
22,48,3 wk ahead inc death,point,,2020-07-02,2020-07-25,469
23,48,4 wk ahead inc death,point,,2020-07-02,2020-08-01,512
24,48,5 wk ahead inc death,point,,2020-07-02,2020-08-08,514
25,48,6 wk ahead inc death,point,,2020-07-02,2020-08-15,469
26,48,7 wk ahead inc death,point,,2020-07-02,2020-08-22,393
27,48,8 wk ahead inc death,point,,2020-07-02,2020-08-29,317
28,48,9 wk ahead inc death,point,,2020-07-02,2020-09-05,252
29,48,10 wk ahead inc death,point,,2020-07-02,2020-09-12,217
30,48,11 wk ahead inc death,point,,2020-07-02,2020-09-19,234
31,48,12 wk ahead inc death,point,,2020-07-02,2020-09-26,272
32,48,13 wk ahead inc death,point,,2020-07-02,2020-10-03,328
33,48,14 wk ahead inc death,point,,2020-07-02,2020-10-10,392
34,48,15 wk ahead inc death,point,,2020-07-02,2020-10-17,455
35,48,16 wk ahead inc death,point,,2020-07-02,2020-10-24,512
36,48,17 wk ahead inc death,point,,2020-07-02,2020-10-31,530
37,48,18 wk ahead inc death,point,,2020-07-02,2020-11-07,501
38,48,19 wk ahead inc death,point,,2020-07-02,2020-11-14,431
39,48,20 wk ahead inc death,point,,2020-07-02,2020-11-21,339
