,location,target,type,quantile,value
0,01,1 day ahead cum death,point,,714.0
1,01,1 day ahead cum death,quantile,0.01,711.0
2,01,1 day ahead cum death,quantile,0.025,712.0
3,01,1 day ahead cum death,quantile,0.05,712.0
4,01,1 day ahead cum death,quantile,0.1,712.0
5,01,1 day ahead cum death,quantile,0.15,713.0
6,01,1 day ahead cum death,quantile,0.2,713.0
7,01,1 day ahead cum death,quantile,0.25,713.0
8,01,1 day ahead cum death,quantile,0.3,713.0
9,01,1 day ahead cum death,quantile,0.35,713.0
10,01,1 day ahead cum death,quantile,0.4,714.0
11,01,1 day ahead cum death,quantile,0.45,714.0
12,01,1 day ahead cum death,quantile,0.5,714.0
13,01,1 day ahead cum death,quantile,0.55,714.0
14,01,1 day ahead cum death,quantile,0.6,714.0
15,01,1 day ahead cum death,quantile,0.65,714.0
16,01,1 day ahead cum death,quantile,0.7,715.0
17,01,1 day ahead cum death,quantile,0.75,715.0
18,01,1 day ahead cum death,quantile,0.8,715.0
19,01,1 day ahead cum death,quantile,0.85,715.0
20,01,1 day ahead cum death,quantile,0.9,716.0
21,01,1 day ahead cum death,quantile,0.95,716.0
22,01,1 day ahead cum death,quantile,0.975,717.0
23,01,1 day ahead cum death,quantile,0.99,717.0
24,01,2 day ahead cum death,point,,736.0
25,01,2 day ahead cum death,quantile,0.01,730.0
26,01,2 day ahead cum death,quantile,0.025,731.0
27,01,2 day ahead cum death,quantile,0.05,732.0
28,01,2 day ahead cum death,quantile,0.1,733.0
29,01,2 day ahead cum death,quantile,0.15,733.0
30,01,2 day ahead cum death,quantile,0.2,734.0
31,01,2 day ahead cum death,quantile,0.25,734.0
32,01,2 day ahead cum death,quantile,0.3,735.0
33,01,2 day ahead cum death,quantile,0.35,735.0
34,01,2 day ahead cum death,quantile,0.4,736.0
35,01,2 day ahead cum death,quantile,0.45,736.0
36,01,2 day ahead cum death,quantile,0.5,736.0
37,01,2 day ahead cum death,quantile,0.55,737.0
38,01,2 day ahead cum death,quantile,0.6,737.0
39,01,2 day ahead cum death,quantile,0.65,737.0
40,01,2 day ahead cum death,quantile,0.7,738.0
41,01,2 day ahead cum death,quantile,0.75,738.0
42,01,2 day ahead cum death,quantile,0.8,739.0
43,01,2 day ahead cum death,quantile,0.85,739.0
44,01,2 day ahead cum death,quantile,0.9,740.0
45,01,2 day ahead cum death,quantile,0.95,742.0
46,01,2 day ahead cum death,quantile,0.975,743.0
47,01,2 day ahead cum death,quantile,0.99,746.0
48,01,3 day ahead cum death,point,,759.0
49,01,3 day ahead cum death,quantile,0.01,749.0
50,01,3 day ahead cum death,quantile,0.025,751.0
51,01,3 day ahead cum death,quantile,0.05,752.0
52,01,3 day ahead cum death,quantile,0.1,754.0
53,01,3 day ahead cum death,quantile,0.15,755.0
54,01,3 day ahead cum death,quantile,0.2,755.0
55,01,3 day ahead cum death,quantile,0.25,756.0
56,01,3 day ahead cum death,quantile,0.3,757.0
57,01,3 day ahead cum death,quantile,0.35,757.0
58,01,3 day ahead cum death,quantile,0.4,758.0
59,01,3 day ahead cum death,quantile,0.45,758.0
60,01,3 day ahead cum death,quantile,0.5,759.0
61,01,3 day ahead cum death,quantile,0.55,759.0
62,01,3 day ahead cum death,quantile,0.6,760.0
63,01,3 day ahead cum death,quantile,0.65,761.0
64,01,3 day ahead cum death,quantile,0.7,761.0
65,01,3 day ahead cum death,quantile,0.75,762.0
66,01,3 day ahead cum death,quantile,0.8,763.0
67,01,3 day ahead cum death,quantile,0.85,764.0
68,01,3 day ahead cum death,quantile,0.9,765.0
69,01,3 day ahead cum death,quantile,0.95,768.0
70,01,3 day ahead cum death,quantile,0.975,771.0
71,01,3 day ahead cum death,quantile,0.99,776.0
72,01,4 day ahead cum death,point,,782.0
73,01,4 day ahead cum death,quantile,0.01,768.0
74,01,4 day ahead cum death,quantile,0.025,770.0
75,01,4 day ahead cum death,quantile,0.05,772.0
76,01,4 day ahead cum death,quantile,0.1,774.0
77,01,4 day ahead cum death,quantile,0.15,776.0
78,01,4 day ahead cum death,quantile,0.2,777.0
