,location,target,type,quantile,value
0,17,1 day ahead cum death,quantile,0.01,2946.97
1,17,1 day ahead inc death,quantile,0.01,44.99
2,17,2 day ahead cum death,quantile,0.01,3027.94
3,17,2 day ahead inc death,quantile,0.01,43.98
4,17,3 day ahead cum death,quantile,0.01,3127.96
5,17,3 day ahead inc death,quantile,0.01,45.0
6,17,4 day ahead cum death,quantile,0.01,3217.83
7,17,4 day ahead inc death,quantile,0.01,47.98
8,17,5 day ahead cum death,quantile,0.01,3291.91
9,17,5 day ahead inc death,quantile,0.01,43.92
10,17,6 day ahead cum death,quantile,0.01,3382.82
11,17,6 day ahead inc death,quantile,0.01,50.98
12,17,7 day ahead cum death,quantile,0.01,3462.86
13,17,7 day ahead inc death,quantile,0.01,52.0
14,17,8 day ahead cum death,quantile,0.01,3531.97
15,17,8 day ahead inc death,quantile,0.01,45.99
16,17,9 day ahead cum death,quantile,0.01,3637.84
17,17,9 day ahead inc death,quantile,0.01,50.98
18,17,10 day ahead cum death,quantile,0.01,3728.6
19,17,10 day ahead inc death,quantile,0.01,59.97
20,17,11 day ahead cum death,quantile,0.01,3776.94
21,17,11 day ahead inc death,quantile,0.01,44.96
22,17,12 day ahead cum death,quantile,0.01,3873.75
23,17,12 day ahead inc death,quantile,0.01,44.98
24,17,13 day ahead cum death,quantile,0.01,3941.93
25,17,13 day ahead inc death,quantile,0.01,53.99
26,17,14 day ahead cum death,quantile,0.01,4027.89
27,17,14 day ahead inc death,quantile,0.01,56.98
28,17,15 day ahead cum death,quantile,0.01,4072.94
29,17,15 day ahead inc death,quantile,0.01,45.93
30,17,16 day ahead cum death,quantile,0.01,4161.95
31,17,16 day ahead inc death,quantile,0.01,57.95
32,17,17 day ahead cum death,quantile,0.01,4257.72
33,17,17 day ahead inc death,quantile,0.01,44.97
34,17,18 day ahead cum death,quantile,0.01,4331.95
35,17,18 day ahead inc death,quantile,0.01,56.89
36,17,19 day ahead cum death,quantile,0.01,4435.63
37,17,19 day ahead inc death,quantile,0.01,46.99
38,17,20 day ahead cum death,quantile,0.01,4504.76
39,17,20 day ahead inc death,quantile,0.01,58.97
40,17,21 day ahead cum death,quantile,0.01,4593.7
41,17,21 day ahead inc death,quantile,0.01,50.83
42,17,22 day ahead cum death,quantile,0.01,4688.71
43,17,22 day ahead inc death,quantile,0.01,47.97
44,17,23 day ahead cum death,quantile,0.01,4774.9
45,17,23 day ahead inc death,quantile,0.01,60.93
46,17,24 day ahead cum death,quantile,0.01,4868.92
47,17,24 day ahead inc death,quantile,0.01,51.96
