,location,target,type,quantile,value
0,17,1 day ahead cum death,quantile,0.01,4683.91
1,17,1 day ahead inc death,quantile,0.01,81.99
2,17,2 day ahead cum death,quantile,0.01,4781.91
3,17,2 day ahead inc death,quantile,0.01,83.98
4,17,3 day ahead cum death,quantile,0.01,4905.79
5,17,3 day ahead inc death,quantile,0.01,74.99
6,17,4 day ahead cum death,quantile,0.01,5041.58
7,17,4 day ahead inc death,quantile,0.01,87.99
8,17,5 day ahead cum death,quantile,0.01,5182.68
9,17,5 day ahead inc death,quantile,0.01,92.93
10,17,6 day ahead cum death,quantile,0.01,5311.8
11,17,6 day ahead inc death,quantile,0.01,80.98
12,17,7 day ahead cum death,quantile,0.01,5459.64
13,17,7 day ahead inc death,quantile,0.01,84.97
14,17,8 day ahead cum death,quantile,0.01,5587.98
15,17,8 day ahead inc death,quantile,0.01,86.96
16,17,9 day ahead cum death,quantile,0.01,5708.94
17,17,9 day ahead inc death,quantile,0.01,93.96
18,17,10 day ahead cum death,quantile,0.01,5844.71
19,17,10 day ahead inc death,quantile,0.01,99.97
20,17,11 day ahead cum death,quantile,0.01,5931.96
21,17,11 day ahead inc death,quantile,0.01,86.98
22,17,12 day ahead cum death,quantile,0.01,6067.97
23,17,12 day ahead inc death,quantile,0.01,89.99
24,17,13 day ahead cum death,quantile,0.01,6197.84
25,17,13 day ahead inc death,quantile,0.01,84.0
26,17,14 day ahead cum death,quantile,0.01,6347.37
27,17,14 day ahead inc death,quantile,0.01,91.96
28,17,15 day ahead cum death,quantile,0.01,6487.37
29,17,15 day ahead inc death,quantile,0.01,87.98
30,17,16 day ahead cum death,quantile,0.01,6634.13
31,17,16 day ahead inc death,quantile,0.01,92.92
32,17,17 day ahead cum death,quantile,0.01,6751.41
33,17,17 day ahead inc death,quantile,0.01,85.91
34,17,18 day ahead cum death,quantile,0.01,6869.63
35,17,18 day ahead inc death,quantile,0.01,94.9
36,17,19 day ahead cum death,quantile,0.01,7005.52
37,17,19 day ahead inc death,quantile,0.01,98.98
38,17,20 day ahead cum death,quantile,0.01,7136.47
39,17,20 day ahead inc death,quantile,0.01,90.94
40,17,21 day ahead cum death,quantile,0.01,7230.9
41,17,21 day ahead inc death,quantile,0.01,90.93
42,17,22 day ahead cum death,quantile,0.01,7360.77
43,17,22 day ahead inc death,quantile,0.01,103.98
44,17,23 day ahead cum death,quantile,0.01,7513.78
45,17,23 day ahead inc death,quantile,0.01,96.77
46,17,24 day ahead cum death,quantile,0.01,7640.68
47,17,24 day ahead inc death,quantile,0.01,87.95
48,17,25 day ahead cum death,quantile,0.01,7734.92
49,17,25 day ahead inc death,quantile,0.01,94.0
50,17,26 day ahead cum death,quantile,0.01,7890.89
51,17,26 day ahead inc death,quantile,0.01,95.99
52,17,27 day ahead cum death,quantile,0.01,8044.51
53,17,27 day ahead inc death,quantile,0.01,95.96
54,17,28 day ahead cum death,quantile,0.01,8204.05
55,17,28 day ahead inc death,quantile,0.01,99.99
56,17,29 day ahead cum death,quantile,0.01,8329.64
57,17,29 day ahead inc death,quantile,0.01,115.92
58,17,30 day ahead cum death,quantile,0.01,8477.88
59,17,30 day ahead inc death,quantile,0.01,123.99
60,17,31 day ahead cum death,quantile,0.01,8652.83
61,17,31 day ahead inc death,quantile,0.01,131.92
62,17,32 day ahead cum death,quantile,0.01,8828.93
63,17,32 day ahead inc death,quantile,0.01,135.97
64,17,33 day ahead cum death,quantile,0.01,9033.92
65,17,33 day ahead inc death,quantile,0.01,152.91
66,17,1 day ahead cum death,quantile,0.025,4789.65
67,17,1 day ahead inc death,quantile,0.025,89.975
68,17,2 day ahead cum death,quantile,0.025,4891.225
69,17,2 day ahead inc death,quantile,0.025,87.95
70,17,3 day ahead cum death,quantile,0.025,4994.225
71,17,3 day ahead inc death,quantile,0.025,92.975
72,17,4 day ahead cum death,quantile,0.025,5121.0
73,17,4 day ahead inc death,quantile,0.025,93.95
74,17,5 day ahead cum death,quantile,0.025,5260.0
75,17,5 day ahead inc death,quantile,0.025,95.95
76,17,6 day ahead cum death,quantile,0.025,5402.8
77,17,6 day ahead inc death,quantile,0.025,88.0
78,17,7 day ahead cum death,quantile,0.025,5505.85
79,17,7 day ahead inc death,quantile,0.025,96.0
80,17,8 day ahead cum death,quantile,0.025,5603.825
81,17,8 day ahead inc death,quantile,0.025,96.875
82,17,9 day ahead cum death,quantile,0.025,5744.65
83,17,9 day ahead inc death,quantile,0.025,98.9
84,17,10 day ahead cum death,quantile,0.025,5879.5
85,17,10 day ahead inc death,quantile,0.025,100.0
86,17,11 day ahead cum death,quantile,0.025,6012.7
87,17,11 day ahead inc death,quantile,0.025,98.95
88,17,12 day ahead cum death,quantile,0.025,6143.725
89,17,12 day ahead inc death,quantile,0.025,98.9
90,17,13 day ahead cum death,quantile,0.025,6274.9
91,17,13 day ahead inc death,quantile,0.025,89.95
92,17,14 day ahead cum death,quantile,0.025,6387.0
93,17,14 day ahead inc death,quantile,0.025,95.0
94,17,15 day ahead cum death,quantile,0.025,6531.85
95,17,15 day ahead inc death,quantile,0.025,92.0
96,17,16 day ahead cum death,quantile,0.025,6663.9
97,17,16 day ahead inc death,quantile,0.025,101.95
98,17,17 day ahead cum death,quantile,0.025,6776.625
99,17,17 day ahead inc death,quantile,0.025,98.975
100,17,18 day ahead cum death,quantile,0.025,6907.875
101,17,18 day ahead inc death,quantile,0.025,96.975
102,17,19 day ahead cum death,quantile,0.025,7033.95
103,17,19 day ahead inc death,quantile,0.025,103.95
104,17,20 day ahead cum death,quantile,0.025,7158.7
105,17,20 day ahead inc death,quantile,0.025,100.0
106,17,21 day ahead cum death,quantile,0.025,7289.75
107,17,21 day ahead inc death,quantile,0.025,102.975
108,17,22 day ahead cum death,quantile,0.025,7409.725
109,17,22 day ahead inc death,quantile,0.025,104.975
110,17,23 day ahead cum death,quantile,0.025,7532.975
111,17,23 day ahead inc death,quantile,0.025,99.975
112,17,24 day ahead cum death,quantile,0.025,7667.375
113,17,24 day ahead inc death,quantile,0.025,97.975
114,17,25 day ahead cum death,quantile,0.025,7788.95
115,17,25 day ahead inc death,quantile,0.025,105.85
116,17,26 day ahead cum death,quantile,0.025,7918.675
117,17,26 day ahead inc death,quantile,0.025,101.0
118,17,27 day ahead cum death,quantile,0.025,8072.575
119,17,27 day ahead inc death,quantile,0.025,111.9
120,17,28 day ahead cum death,quantile,0.025,8209.95
121,17,28 day ahead inc death,quantile,0.025,107.975
122,17,29 day ahead cum death,quantile,0.025,8381.05
123,17,29 day ahead inc death,quantile,0.025,124.925
124,17,30 day ahead cum death,quantile,0.025,8542.725
125,17,30 day ahead inc death,quantile,0.025,128.925
126,17,31 day ahead cum death,quantile,0.025,8701.75
127,17,31 day ahead inc death,quantile,0.025,137.925
128,17,32 day ahead cum death,quantile,0.025,8871.65
129,17,32 day ahead inc death,quantile,0.025,145.95
130,17,33 day ahead cum death,quantile,0.025,9066.325
131,17,33 day ahead inc death,quantile,0.025,156.925
132,17,1 day ahead cum death,quantile,0.05,4805.65
133,17,1 day ahead inc death,quantile,0.05,98.95
134,17,2 day ahead cum death,quantile,0.05,4936.45
135,17,2 day ahead inc death,quantile,0.05,93.0
136,17,3 day ahead cum death,quantile,0.05,5049.55
137,17,3 day ahead inc death,quantile,0.05,99.95
138,17,4 day ahead cum death,quantile,0.05,5184.7
139,17,4 day ahead inc death,quantile,0.05,99.0
140,17,5 day ahead cum death,quantile,0.05,5302.8
141,17,5 day ahead inc death,quantile,0.05,102.0
142,17,6 day ahead cum death,quantile,0.05,5423.8
143,17,6 day ahead inc death,quantile,0.05,92.95
144,17,7 day ahead cum death,quantile,0.05,5565.8
145,17,7 day ahead inc death,quantile,0.05,98.95
146,17,8 day ahead cum death,quantile,0.05,5692.8
147,17,8 day ahead inc death,quantile,0.05,100.95
148,17,9 day ahead cum death,quantile,0.05,5820.9
149,17,9 day ahead inc death,quantile,0.05,103.95
150,17,10 day ahead cum death,quantile,0.05,5949.85
151,17,10 day ahead inc death,quantile,0.05,105.95
152,17,11 day ahead cum death,quantile,0.05,6071.35
153,17,11 day ahead inc death,quantile,0.05,103.95
154,17,12 day ahead cum death,quantile,0.05,6207.1
155,17,12 day ahead inc death,quantile,0.05,102.0
156,17,13 day ahead cum death,quantile,0.05,6325.15
157,17,13 day ahead inc death,quantile,0.05,102.9
158,17,14 day ahead cum death,quantile,0.05,6446.7
159,17,14 day ahead inc death,quantile,0.05,101.95
160,17,15 day ahead cum death,quantile,0.05,6553.6
161,17,15 day ahead inc death,quantile,0.05,100.9
162,17,16 day ahead cum death,quantile,0.05,6685.5
163,17,16 day ahead inc death,quantile,0.05,107.9
164,17,17 day ahead cum death,quantile,0.05,6813.85
165,17,17 day ahead inc death,quantile,0.05,105.85
166,17,18 day ahead cum death,quantile,0.05,6936.9
167,17,18 day ahead inc death,quantile,0.05,104.0
168,17,19 day ahead cum death,quantile,0.05,7055.9
169,17,19 day ahead inc death,quantile,0.05,109.9
170,17,20 day ahead cum death,quantile,0.05,7188.25
171,17,20 day ahead inc death,quantile,0.05,109.95
172,17,21 day ahead cum death,quantile,0.05,7318.15
173,17,21 day ahead inc death,quantile,0.05,110.9
174,17,22 day ahead cum death,quantile,0.05,7455.45
175,17,22 day ahead inc death,quantile,0.05,109.95
176,17,23 day ahead cum death,quantile,0.05,7567.75
177,17,23 day ahead inc death,quantile,0.05,102.95
178,17,24 day ahead cum death,quantile,0.05,7710.6
179,17,24 day ahead inc death,quantile,0.05,107.0
180,17,25 day ahead cum death,quantile,0.05,7836.7
181,17,25 day ahead inc death,quantile,0.05,111.95
182,17,26 day ahead cum death,quantile,0.05,7973.75
183,17,26 day ahead inc death,quantile,0.05,114.95
184,17,27 day ahead cum death,quantile,0.05,8101.0
185,17,27 day ahead inc death,quantile,0.05,117.9
186,17,28 day ahead cum death,quantile,0.05,8258.05
187,17,28 day ahead inc death,quantile,0.05,119.95
188,17,29 day ahead cum death,quantile,0.05,8404.8
189,17,29 day ahead inc death,quantile,0.05,130.0
190,17,30 day ahead cum death,quantile,0.05,8577.5
191,17,30 day ahead inc death,quantile,0.05,133.95
192,17,31 day ahead cum death,quantile,0.05,8739.9
193,17,31 day ahead inc death,quantile,0.05,143.0
194,17,32 day ahead cum death,quantile,0.05,8926.75
195,17,32 day ahead inc death,quantile,0.05,151.95
196,17,33 day ahead cum death,quantile,0.05,9134.7
197,17,33 day ahead inc death,quantile,0.05,169.95
198,17,1 day ahead cum death,quantile,0.1,4878.0
199,17,1 day ahead inc death,quantile,0.1,105.0
200,17,2 day ahead cum death,quantile,0.1,4986.4
201,17,2 day ahead inc death,quantile,0.1,103.0
202,17,3 day ahead cum death,quantile,0.1,5118.4
203,17,3 day ahead inc death,quantile,0.1,105.0
