,location,target,type,quantile,value
0,17,1 day ahead cum death,quantile,0.01,2806.65
1,17,1 day ahead inc death,quantile,0.01,52.99
2,17,2 day ahead cum death,quantile,0.01,2899.46
3,17,2 day ahead inc death,quantile,0.01,51.0
4,17,3 day ahead cum death,quantile,0.01,2958.92
5,17,3 day ahead inc death,quantile,0.01,55.99
6,17,4 day ahead cum death,quantile,0.01,3050.93
7,17,4 day ahead inc death,quantile,0.01,47.97
8,17,5 day ahead cum death,quantile,0.01,3147.98
9,17,5 day ahead inc death,quantile,0.01,46.94
10,17,6 day ahead cum death,quantile,0.01,3252.57
11,17,6 day ahead inc death,quantile,0.01,63.97
12,17,7 day ahead cum death,quantile,0.01,3344.76
13,17,7 day ahead inc death,quantile,0.01,55.95
14,17,8 day ahead cum death,quantile,0.01,3431.94
15,17,8 day ahead inc death,quantile,0.01,58.97
16,17,9 day ahead cum death,quantile,0.01,3533.9
17,17,9 day ahead inc death,quantile,0.01,62.95
18,17,10 day ahead cum death,quantile,0.01,3658.43
19,17,10 day ahead inc death,quantile,0.01,61.98
20,17,11 day ahead cum death,quantile,0.01,3762.61
21,17,11 day ahead inc death,quantile,0.01,63.98
22,17,12 day ahead cum death,quantile,0.01,3839.81
23,17,12 day ahead inc death,quantile,0.01,68.9
24,17,13 day ahead cum death,quantile,0.01,3958.61
25,17,13 day ahead inc death,quantile,0.01,56.94
26,17,14 day ahead cum death,quantile,0.01,4058.47
27,17,14 day ahead inc death,quantile,0.01,54.99
28,17,15 day ahead cum death,quantile,0.01,4134.55
29,17,15 day ahead inc death,quantile,0.01,61.0
30,17,16 day ahead cum death,quantile,0.01,4261.35
31,17,16 day ahead inc death,quantile,0.01,55.97
32,17,17 day ahead cum death,quantile,0.01,4364.48
33,17,17 day ahead inc death,quantile,0.01,61.95
34,17,18 day ahead cum death,quantile,0.01,4460.61
35,17,18 day ahead inc death,quantile,0.01,71.94
36,17,19 day ahead cum death,quantile,0.01,4548.78
37,17,19 day ahead inc death,quantile,0.01,64.0
38,17,20 day ahead cum death,quantile,0.01,4634.93
39,17,20 day ahead inc death,quantile,0.01,67.95
40,17,21 day ahead cum death,quantile,0.01,4758.89
41,17,21 day ahead inc death,quantile,0.01,54.98
42,17,22 day ahead cum death,quantile,0.01,4862.84
43,17,22 day ahead inc death,quantile,0.01,70.95
44,17,23 day ahead cum death,quantile,0.01,4973.4
45,17,23 day ahead inc death,quantile,0.01,75.92
46,17,24 day ahead cum death,quantile,0.01,5105.21
47,17,24 day ahead inc death,quantile,0.01,64.96
48,17,25 day ahead cum death,quantile,0.01,5220.02
49,17,25 day ahead inc death,quantile,0.01,67.0
50,17,26 day ahead cum death,quantile,0.01,5355.77
51,17,26 day ahead inc death,quantile,0.01,72.99
52,17,27 day ahead cum death,quantile,0.01,5435.94
53,17,27 day ahead inc death,quantile,0.01,79.96
54,17,28 day ahead cum death,quantile,0.01,5550.88
55,17,28 day ahead inc death,quantile,0.01,70.98
56,17,29 day ahead cum death,quantile,0.01,5674.88
57,17,29 day ahead inc death,quantile,0.01,84.0
58,17,30 day ahead cum death,quantile,0.01,5808.23
59,17,30 day ahead inc death,quantile,0.01,70.97
60,17,31 day ahead cum death,quantile,0.01,5963.03
61,17,31 day ahead inc death,quantile,0.01,79.91
62,17,32 day ahead cum death,quantile,0.01,6106.98
63,17,32 day ahead inc death,quantile,0.01,79.98
64,17,33 day ahead cum death,quantile,0.01,6240.15
65,17,33 day ahead inc death,quantile,0.01,84.97
66,17,34 day ahead cum death,quantile,0.01,6392.02
67,17,34 day ahead inc death,quantile,0.01,89.99
68,17,35 day ahead cum death,quantile,0.01,6474.53
69,17,35 day ahead inc death,quantile,0.01,81.87
70,17,36 day ahead cum death,quantile,0.01,6630.69
71,17,36 day ahead inc death,quantile,0.01,89.98
72,17,37 day ahead cum death,quantile,0.01,6765.95
73,17,37 day ahead inc death,quantile,0.01,88.96
74,17,38 day ahead cum death,quantile,0.01,6911.94
75,17,38 day ahead inc death,quantile,0.01,90.98
76,17,39 day ahead cum death,quantile,0.01,7053.92
77,17,39 day ahead inc death,quantile,0.01,87.87
78,17,1 day ahead cum death,quantile,0.025,2827.925
79,17,1 day ahead inc death,quantile,0.025,68.95
80,17,2 day ahead cum death,quantile,0.025,2914.925
81,17,2 day ahead inc death,quantile,0.025,61.0
82,17,3 day ahead cum death,quantile,0.025,3020.875
83,17,3 day ahead inc death,quantile,0.025,62.875
84,17,4 day ahead cum death,quantile,0.025,3120.9
85,17,4 day ahead inc death,quantile,0.025,59.975
86,17,5 day ahead cum death,quantile,0.025,3213.675
87,17,5 day ahead inc death,quantile,0.025,57.9
88,17,6 day ahead cum death,quantile,0.025,3317.75
89,17,6 day ahead inc death,quantile,0.025,66.95
90,17,7 day ahead cum death,quantile,0.025,3424.875
91,17,7 day ahead inc death,quantile,0.025,68.975
92,17,8 day ahead cum death,quantile,0.025,3516.925
93,17,8 day ahead inc death,quantile,0.025,63.0
94,17,9 day ahead cum death,quantile,0.025,3615.925
95,17,9 day ahead inc death,quantile,0.025,65.0
