,location,target,type,quantile,forecast_date,target_end_date,value
0,US,3 wk ahead cum death,quantile,0.01,2020-04-13,2020-05-02,26250.0
1,US,3 wk ahead cum death,quantile,0.025,2020-04-13,2020-05-02,29250.0
2,US,3 wk ahead cum death,quantile,0.05,2020-04-13,2020-05-02,31750.0
3,US,3 wk ahead cum death,quantile,0.1,2020-04-13,2020-05-02,34250.0
4,US,3 wk ahead cum death,quantile,0.15,2020-04-13,2020-05-02,36250.0
5,US,3 wk ahead cum death,quantile,0.2,2020-04-13,2020-05-02,37750.0
6,US,3 wk ahead cum death,quantile,0.25,2020-04-13,2020-05-02,39250.0
7,US,3 wk ahead cum death,quantile,0.3,2020-04-13,2020-05-02,40750.0
8,US,3 wk ahead cum death,quantile,0.35,2020-04-13,2020-05-02,42250.0
9,US,3 wk ahead cum death,quantile,0.4,2020-04-13,2020-05-02,43750.0
10,US,3 wk ahead cum death,quantile,0.45,2020-04-13,2020-05-02,45750.0
11,US,3 wk ahead cum death,quantile,0.5,2020-04-13,2020-05-02,47750.0
12,US,3 wk ahead cum death,point,,2020-04-13,2020-05-02,47750.0
13,US,3 wk ahead cum death,quantile,0.55,2020-04-13,2020-05-02,49250.0
14,US,3 wk ahead cum death,quantile,0.6,2020-04-13,2020-05-02,51250.0
15,US,3 wk ahead cum death,quantile,0.65,2020-04-13,2020-05-02,53250.0
16,US,3 wk ahead cum death,quantile,0.7,2020-04-13,2020-05-02,55250.0
17,US,3 wk ahead cum death,quantile,0.75,2020-04-13,2020-05-02,57750.0
18,US,3 wk ahead cum death,quantile,0.8,2020-04-13,2020-05-02,61250.0
19,US,3 wk ahead cum death,quantile,0.85,2020-04-13,2020-05-02,65750.0
20,US,3 wk ahead cum death,quantile,0.9,2020-04-13,2020-05-02,71750.0
21,US,3 wk ahead cum death,quantile,0.95,2020-04-13,2020-05-02,89250.0
22,US,3 wk ahead cum death,quantile,0.975,2020-04-13,2020-05-02,108750.0
23,US,3 wk ahead cum death,quantile,0.99,2020-04-13,2020-05-02,133750.0
24,US,7 wk ahead cum death,quantile,0.01,2020-04-13,2020-05-30,34250.0
25,US,7 wk ahead cum death,quantile,0.025,2020-04-13,2020-05-30,37250.0
26,US,7 wk ahead cum death,quantile,0.05,2020-04-13,2020-05-30,41250.0
27,US,7 wk ahead cum death,quantile,0.1,2020-04-13,2020-05-30,45250.0
28,US,7 wk ahead cum death,quantile,0.15,2020-04-13,2020-05-30,48750.0
29,US,7 wk ahead cum death,quantile,0.2,2020-04-13,2020-05-30,51250.0
30,US,7 wk ahead cum death,quantile,0.25,2020-04-13,2020-05-30,54250.0
31,US,7 wk ahead cum death,quantile,0.3,2020-04-13,2020-05-30,57250.0
32,US,7 wk ahead cum death,quantile,0.35,2020-04-13,2020-05-30,60250.0
33,US,7 wk ahead cum death,quantile,0.4,2020-04-13,2020-05-30,63750.0
34,US,7 wk ahead cum death,quantile,0.45,2020-04-13,2020-05-30,68250.0
35,US,7 wk ahead cum death,quantile,0.5,2020-04-13,2020-05-30,73250.0
36,US,7 wk ahead cum death,point,,2020-04-13,2020-05-30,73250.0
37,US,7 wk ahead cum death,quantile,0.55,2020-04-13,2020-05-30,78250.0
38,US,7 wk ahead cum death,quantile,0.6,2020-04-13,2020-05-30,82750.0
39,US,7 wk ahead cum death,quantile,0.65,2020-04-13,2020-05-30,88250.0
40,US,7 wk ahead cum death,quantile,0.7,2020-04-13,2020-05-30,94250.0
41,US,7 wk ahead cum death,quantile,0.75,2020-04-13,2020-05-30,101750.0
42,US,7 wk ahead cum death,quantile,0.8,2020-04-13,2020-05-30,110250.0
43,US,7 wk ahead cum death,quantile,0.85,2020-04-13,2020-05-30,122250.0
44,US,7 wk ahead cum death,quantile,0.9,2020-04-13,2020-05-30,143250.0
45,US,7 wk ahead cum death,quantile,0.95,2020-04-13,2020-05-30,177250.0
46,US,7 wk ahead cum death,quantile,0.975,2020-04-13,2020-05-30,207750.0
47,US,7 wk ahead cum death,quantile,0.99,2020-04-13,2020-05-30,250250.0
