,location,target,type,quantile,forecast_date,target_end_date,value
0,US,3 wk ahead cum death,quantile,0.01,2020-04-20,2020-05-09,45250.0
1,US,3 wk ahead cum death,quantile,0.025,2020-04-20,2020-05-09,46750.0
2,US,3 wk ahead cum death,quantile,0.05,2020-04-20,2020-05-09,48250.0
3,US,3 wk ahead cum death,quantile,0.1,2020-04-20,2020-05-09,50750.0
4,US,3 wk ahead cum death,quantile,0.15,2020-04-20,2020-05-09,52250.0
5,US,3 wk ahead cum death,quantile,0.2,2020-04-20,2020-05-09,54250.0
6,US,3 wk ahead cum death,quantile,0.25,2020-04-20,2020-05-09,55750.0
7,US,3 wk ahead cum death,quantile,0.3,2020-04-20,2020-05-09,57250.0
8,US,3 wk ahead cum death,quantile,0.35,2020-04-20,2020-05-09,58750.0
9,US,3 wk ahead cum death,quantile,0.4,2020-04-20,2020-05-09,60250.0
10,US,3 wk ahead cum death,quantile,0.45,2020-04-20,2020-05-09,62250.0
11,US,3 wk ahead cum death,quantile,0.5,2020-04-20,2020-05-09,64750.0
12,US,3 wk ahead cum death,point,,2020-04-20,2020-05-09,64750.0
13,US,3 wk ahead cum death,quantile,0.55,2020-04-20,2020-05-09,67250.0
14,US,3 wk ahead cum death,quantile,0.6,2020-04-20,2020-05-09,69750.0
15,US,3 wk ahead cum death,quantile,0.65,2020-04-20,2020-05-09,72750.0
16,US,3 wk ahead cum death,quantile,0.7,2020-04-20,2020-05-09,76250.0
17,US,3 wk ahead cum death,quantile,0.75,2020-04-20,2020-05-09,80750.0
18,US,3 wk ahead cum death,quantile,0.8,2020-04-20,2020-05-09,87250.0
19,US,3 wk ahead cum death,quantile,0.85,2020-04-20,2020-05-09,102250.0
20,US,3 wk ahead cum death,quantile,0.9,2020-04-20,2020-05-09,127750.0
21,US,3 wk ahead cum death,quantile,0.95,2020-04-20,2020-05-09,152750.0
22,US,3 wk ahead cum death,quantile,0.975,2020-04-20,2020-05-09,170250.0
23,US,3 wk ahead cum death,quantile,0.99,2020-04-20,2020-05-09,189750.0
