,location,target,type,quantile,forecast_date,target_end_date,value
0,2,1 wk ahead cum death,quantile,0.01,2020-04-26,2020-05-02,6
1,2,1 wk ahead cum death,quantile,0.025,2020-04-26,2020-05-02,7
2,2,1 wk ahead cum death,quantile,0.05,2020-04-26,2020-05-02,7
3,2,1 wk ahead cum death,quantile,0.1,2020-04-26,2020-05-02,9
4,2,1 wk ahead cum death,quantile,0.15,2020-04-26,2020-05-02,9
5,2,1 wk ahead cum death,quantile,0.2,2020-04-26,2020-05-02,10
6,2,1 wk ahead cum death,quantile,0.25,2020-04-26,2020-05-02,10
7,2,1 wk ahead cum death,quantile,0.3,2020-04-26,2020-05-02,11
8,2,1 wk ahead cum death,quantile,0.35,2020-04-26,2020-05-02,11
9,2,1 wk ahead cum death,quantile,0.4,2020-04-26,2020-05-02,12
10,2,1 wk ahead cum death,quantile,0.45,2020-04-26,2020-05-02,12
11,2,1 wk ahead cum death,quantile,0.5,2020-04-26,2020-05-02,13
12,2,1 wk ahead cum death,point,,2020-04-26,2020-05-02,13
13,2,1 wk ahead cum death,quantile,0.55,2020-04-26,2020-05-02,13
14,2,1 wk ahead cum death,quantile,0.6,2020-04-26,2020-05-02,13
15,2,1 wk ahead cum death,quantile,0.65,2020-04-26,2020-05-02,14
16,2,1 wk ahead cum death,quantile,0.7,2020-04-26,2020-05-02,14
17,2,1 wk ahead cum death,quantile,0.75,2020-04-26,2020-05-02,15
18,2,1 wk ahead cum death,quantile,0.8,2020-04-26,2020-05-02,15
19,2,1 wk ahead cum death,quantile,0.85,2020-04-26,2020-05-02,16
20,2,1 wk ahead cum death,quantile,0.9,2020-04-26,2020-05-02,17
21,2,1 wk ahead cum death,quantile,0.95,2020-04-26,2020-05-02,18
22,2,1 wk ahead cum death,quantile,0.975,2020-04-26,2020-05-02,19
23,2,1 wk ahead cum death,quantile,0.99,2020-04-26,2020-05-02,20
24,2,2 wk ahead cum death,quantile,0.01,2020-04-26,2020-05-09,6
25,2,2 wk ahead cum death,quantile,0.025,2020-04-26,2020-05-09,7
26,2,2 wk ahead cum death,quantile,0.05,2020-04-26,2020-05-09,8
27,2,2 wk ahead cum death,quantile,0.1,2020-04-26,2020-05-09,9
28,2,2 wk ahead cum death,quantile,0.15,2020-04-26,2020-05-09,10
29,2,2 wk ahead cum death,quantile,0.2,2020-04-26,2020-05-09,11
30,2,2 wk ahead cum death,quantile,0.25,2020-04-26,2020-05-09,12
31,2,2 wk ahead cum death,quantile,0.3,2020-04-26,2020-05-09,12
32,2,2 wk ahead cum death,quantile,0.35,2020-04-26,2020-05-09,13
33,2,2 wk ahead cum death,quantile,0.4,2020-04-26,2020-05-09,13
34,2,2 wk ahead cum death,quantile,0.45,2020-04-26,2020-05-09,13
35,2,2 wk ahead cum death,quantile,0.5,2020-04-26,2020-05-09,14
36,2,2 wk ahead cum death,point,,2020-04-26,2020-05-09,14
37,2,2 wk ahead cum death,quantile,0.55,2020-04-26,2020-05-09,14
38,2,2 wk ahead cum death,quantile,0.6,2020-04-26,2020-05-09,15
39,2,2 wk ahead cum death,quantile,0.65,2020-04-26,2020-05-09,15
40,2,2 wk ahead cum death,quantile,0.7,2020-04-26,2020-05-09,16
41,2,2 wk ahead cum death,quantile,0.75,2020-04-26,2020-05-09,16
42,2,2 wk ahead cum death,quantile,0.8,2020-04-26,2020-05-09,17
43,2,2 wk ahead cum death,quantile,0.85,2020-04-26,2020-05-09,18
44,2,2 wk ahead cum death,quantile,0.9,2020-04-26,2020-05-09,19
45,2,2 wk ahead cum death,quantile,0.95,2020-04-26,2020-05-09,20
46,2,2 wk ahead cum death,quantile,0.975,2020-04-26,2020-05-09,22
