,location,target,type,quantile,value
0,US,1 wk ahead inc death,quantile,0.01,3650
1,US,1 wk ahead inc death,quantile,0.025,3936
2,US,1 wk ahead inc death,quantile,0.05,4150
3,US,1 wk ahead inc death,quantile,0.1,4444
4,US,1 wk ahead inc death,quantile,0.15,4599
5,US,1 wk ahead inc death,quantile,0.2,4757
6,US,1 wk ahead inc death,quantile,0.25,4930
7,US,1 wk ahead inc death,quantile,0.3,5066
8,US,1 wk ahead inc death,quantile,0.35,5196
9,US,1 wk ahead inc death,quantile,0.4,5293
10,US,1 wk ahead inc death,quantile,0.45,5415
11,US,1 wk ahead inc death,quantile,0.5,5560
12,US,1 wk ahead inc death,point,,5560
13,US,1 wk ahead inc death,quantile,0.55,5672
14,US,1 wk ahead inc death,quantile,0.6,5866
15,US,1 wk ahead inc death,quantile,0.65,6019
16,US,1 wk ahead inc death,quantile,0.7,6167
17,US,1 wk ahead inc death,quantile,0.75,6338
18,US,1 wk ahead inc death,quantile,0.8,6510
19,US,1 wk ahead inc death,quantile,0.85,6697
20,US,1 wk ahead inc death,quantile,0.9,6946
21,US,1 wk ahead inc death,quantile,0.95,7327
22,US,1 wk ahead inc death,quantile,0.975,7742
23,US,1 wk ahead inc death,quantile,0.99,8346
24,US,2 wk ahead inc death,quantile,0.01,2763
25,US,2 wk ahead inc death,quantile,0.025,3075
26,US,2 wk ahead inc death,quantile,0.05,3448
27,US,2 wk ahead inc death,quantile,0.1,3711
28,US,2 wk ahead inc death,quantile,0.15,3987
29,US,2 wk ahead inc death,quantile,0.2,4195
30,US,2 wk ahead inc death,quantile,0.25,4366
31,US,2 wk ahead inc death,quantile,0.3,4500
32,US,2 wk ahead inc death,quantile,0.35,4663
33,US,2 wk ahead inc death,quantile,0.4,4807
34,US,2 wk ahead inc death,quantile,0.45,4956
35,US,2 wk ahead inc death,quantile,0.5,5118
36,US,2 wk ahead inc death,point,,5118
37,US,2 wk ahead inc death,quantile,0.55,5245
38,US,2 wk ahead inc death,quantile,0.6,5396
39,US,2 wk ahead inc death,quantile,0.65,5585
40,US,2 wk ahead inc death,quantile,0.7,5799
41,US,2 wk ahead inc death,quantile,0.75,6053
42,US,2 wk ahead inc death,quantile,0.8,6261
43,US,2 wk ahead inc death,quantile,0.85,6560
44,US,2 wk ahead inc death,quantile,0.9,7025
45,US,2 wk ahead inc death,quantile,0.95,7668
46,US,2 wk ahead inc death,quantile,0.975,8130
47,US,2 wk ahead inc death,quantile,0.99,8765
48,US,3 wk ahead inc death,quantile,0.01,1817
49,US,3 wk ahead inc death,quantile,0.025,2245
50,US,3 wk ahead inc death,quantile,0.05,2596
