,location,target,type,quantile,value
0,01,1 day ahead inc death,point,,10.57142857
1,01,1 day ahead inc death,quantile,0.01,2.714285714
2,01,1 day ahead inc death,quantile,0.025,3.428571429
3,01,1 day ahead inc death,quantile,0.05,4.285714286
4,01,1 day ahead inc death,quantile,0.1,5.428571429
5,01,1 day ahead inc death,quantile,0.15,6.142857143
6,01,1 day ahead inc death,quantile,0.2,6.857142857
7,01,1 day ahead inc death,quantile,0.25,7.571428571
8,01,1 day ahead inc death,quantile,0.3,8.142857142999999
9,01,1 day ahead inc death,quantile,0.35,8.714285713999999
10,01,1 day ahead inc death,quantile,0.4,9.285714286000001
11,01,1 day ahead inc death,quantile,0.45,9.857142857000001
12,01,1 day ahead inc death,quantile,0.5,10.57142857
13,01,1 day ahead inc death,quantile,0.55,11.14285714
14,01,1 day ahead inc death,quantile,0.6,11.85714286
15,01,1 day ahead inc death,quantile,0.65,12.57142857
16,01,1 day ahead inc death,quantile,0.7,13.42857143
17,01,1 day ahead inc death,quantile,0.75,14.28571429
18,01,1 day ahead inc death,quantile,0.8,15.42857143
19,01,1 day ahead inc death,quantile,0.85,16.71428571
20,01,1 day ahead inc death,quantile,0.9,18.57142857
21,01,1 day ahead inc death,quantile,0.95,21.42857143
22,01,1 day ahead inc death,quantile,0.975,24.14285714
23,01,1 day ahead inc death,quantile,0.99,27.85714286
24,01,2 day ahead inc death,point,,10.57142857
25,01,2 day ahead inc death,quantile,0.01,2.5714285709999998
26,01,2 day ahead inc death,quantile,0.025,3.428571429
27,01,2 day ahead inc death,quantile,0.05,4.285714286
28,01,2 day ahead inc death,quantile,0.1,5.285714286
29,01,2 day ahead inc death,quantile,0.15,6.142857143
30,01,2 day ahead inc death,quantile,0.2,6.857142857
31,01,2 day ahead inc death,quantile,0.25,7.428571429
32,01,2 day ahead inc death,quantile,0.3,8.142857142999999
33,01,2 day ahead inc death,quantile,0.35,8.714285713999999
34,01,2 day ahead inc death,quantile,0.4,9.285714286000001
35,01,2 day ahead inc death,quantile,0.45,10.0
36,01,2 day ahead inc death,quantile,0.5,10.57142857
37,01,2 day ahead inc death,quantile,0.55,11.28571429
38,01,2 day ahead inc death,quantile,0.6,12.0
39,01,2 day ahead inc death,quantile,0.65,12.71428571
40,01,2 day ahead inc death,quantile,0.7,13.42857143
41,01,2 day ahead inc death,quantile,0.75,14.42857143
42,01,2 day ahead inc death,quantile,0.8,15.57142857
43,01,2 day ahead inc death,quantile,0.85,17.0
44,01,2 day ahead inc death,quantile,0.9,18.85714286
45,01,2 day ahead inc death,quantile,0.95,21.85714286
46,01,2 day ahead inc death,quantile,0.975,24.85714286
