,location,target,type,quantile,forecast_date,target_end_date,value
0,04,1 wk ahead inc death,quantile,0.01,2020-06-15,2020-06-20,99
1,04,1 wk ahead inc death,quantile,0.025,2020-06-15,2020-06-20,110
2,04,1 wk ahead inc death,quantile,0.05,2020-06-15,2020-06-20,122
3,04,1 wk ahead inc death,quantile,0.1,2020-06-15,2020-06-20,135
4,04,1 wk ahead inc death,quantile,0.15,2020-06-15,2020-06-20,143
5,04,1 wk ahead inc death,quantile,0.2,2020-06-15,2020-06-20,150
6,04,1 wk ahead inc death,quantile,0.25,2020-06-15,2020-06-20,157
7,04,1 wk ahead inc death,quantile,0.3,2020-06-15,2020-06-20,161
8,04,1 wk ahead inc death,quantile,0.35,2020-06-15,2020-06-20,167
9,04,1 wk ahead inc death,quantile,0.4,2020-06-15,2020-06-20,172
10,04,1 wk ahead inc death,quantile,0.45,2020-06-15,2020-06-20,178
11,04,1 wk ahead inc death,quantile,0.5,2020-06-15,2020-06-20,184
12,04,1 wk ahead inc death,quantile,0.55,2020-06-15,2020-06-20,189
13,04,1 wk ahead inc death,quantile,0.6,2020-06-15,2020-06-20,194
14,04,1 wk ahead inc death,quantile,0.65,2020-06-15,2020-06-20,202
15,04,1 wk ahead inc death,quantile,0.7,2020-06-15,2020-06-20,209
16,04,1 wk ahead inc death,quantile,0.75,2020-06-15,2020-06-20,217
17,04,1 wk ahead inc death,quantile,0.8,2020-06-15,2020-06-20,227
18,04,1 wk ahead inc death,quantile,0.85,2020-06-15,2020-06-20,238
19,04,1 wk ahead inc death,quantile,0.9,2020-06-15,2020-06-20,252
20,04,1 wk ahead inc death,quantile,0.95,2020-06-15,2020-06-20,277
21,04,1 wk ahead inc death,quantile,0.975,2020-06-15,2020-06-20,310
22,04,1 wk ahead inc death,quantile,0.99,2020-06-15,2020-06-20,347
23,04,2 wk ahead inc death,quantile,0.01,2020-06-15,2020-06-27,63
24,04,2 wk ahead inc death,quantile,0.025,2020-06-15,2020-06-27,84
25,04,2 wk ahead inc death,quantile,0.05,2020-06-15,2020-06-27,97
26,04,2 wk ahead inc death,quantile,0.1,2020-06-15,2020-06-27,116
27,04,2 wk ahead inc death,quantile,0.15,2020-06-15,2020-06-27,132
