,location,target,type,quantile,value
0,04,1 wk ahead inc death,quantile,0.01,115.333333333333
1,04,1 wk ahead inc death,quantile,0.025,126.666666666667
2,04,1 wk ahead inc death,quantile,0.05,137.666666666667
3,04,1 wk ahead inc death,quantile,0.1,149.666666666667
4,04,1 wk ahead inc death,quantile,0.15,157.333333333333
5,04,1 wk ahead inc death,quantile,0.2,163.666666666667
6,04,1 wk ahead inc death,quantile,0.25,169.666666666667
7,04,1 wk ahead inc death,quantile,0.3,174.333333333333
8,04,1 wk ahead inc death,quantile,0.35,179.666666666667
9,04,1 wk ahead inc death,quantile,0.4,184.666666666667
10,04,1 wk ahead inc death,quantile,0.45,189.0
11,04,1 wk ahead inc death,quantile,0.5,192.666666666667
12,04,1 wk ahead inc death,quantile,0.55,197.0
13,04,1 wk ahead inc death,quantile,0.6,202.0
14,04,1 wk ahead inc death,quantile,0.65,208.666666666667
15,04,1 wk ahead inc death,quantile,0.7,214.333333333333
16,04,1 wk ahead inc death,quantile,0.75,221.0
17,04,1 wk ahead inc death,quantile,0.8,228.666666666667
18,04,1 wk ahead inc death,quantile,0.85,236.0
19,04,1 wk ahead inc death,quantile,0.9,248.666666666667
20,04,1 wk ahead inc death,quantile,0.95,267.33333333333303
21,04,1 wk ahead inc death,quantile,0.975,283.33333333333303
22,04,1 wk ahead inc death,quantile,0.99,310.33333333333303
23,04,2 wk ahead inc death,quantile,0.01,102.666666666667
24,04,2 wk ahead inc death,quantile,0.025,117.666666666667
25,04,2 wk ahead inc death,quantile,0.05,133.666666666667
26,04,2 wk ahead inc death,quantile,0.1,148.666666666667
27,04,2 wk ahead inc death,quantile,0.15,161.0
28,04,2 wk ahead inc death,quantile,0.2,172.333333333333
29,04,2 wk ahead inc death,quantile,0.25,183.0
30,04,2 wk ahead inc death,quantile,0.3,192.333333333333
31,04,2 wk ahead inc death,quantile,0.35,199.0
32,04,2 wk ahead inc death,quantile,0.4,206.666666666667
33,04,2 wk ahead inc death,quantile,0.45,214.666666666667
34,04,2 wk ahead inc death,quantile,0.5,222.666666666667
35,04,2 wk ahead inc death,quantile,0.55,229.333333333333
36,04,2 wk ahead inc death,quantile,0.6,238.333333333333
37,04,2 wk ahead inc death,quantile,0.65,248.0
38,04,2 wk ahead inc death,quantile,0.7,259.33333333333303
39,04,2 wk ahead inc death,quantile,0.75,273.33333333333303
40,04,2 wk ahead inc death,quantile,0.8,289.66666666666697
41,04,2 wk ahead inc death,quantile,0.85,306.33333333333303
42,04,2 wk ahead inc death,quantile,0.9,332.0
43,04,2 wk ahead inc death,quantile,0.95,382.333333333333
